frame,gaze
823.jpg,"(0.52, 0.65)"
1255.jpg,"(0.52, 0.65)"
1633.jpg,"(0.55, 0.48)"
1995.jpg,"(0.35, 0.55)"
2096.jpg,"(0.52, 0.60)"
2536.jpg,"(0.50, 0.75)"
2637.jpg,"(0.50, 0.60)"
3032.jpg,"(0.50, 0.50)"
3064.jpg,"(0.52, 0.65)"
3159.jpg,"(0.50, 0.55)"
5269.jpg,"(0.45, 0.55)"
5375.jpg,"(0.50, 0.60)"
5564.jpg,"(0.65, 0.48)"
5888.jpg,"(0.59, 0.48)"
5953.jpg,"(0.45, 0.65)"
6353.jpg,"(0.65, 0.65)"
6691.jpg,"(0.52, 0.68)"
6777.jpg,"(0.58, 0.62)"
7112.jpg,"(0.45, 0.62)"
9062.jpg,"(0.56, 0.74)"
9220.jpg,"(0.50, 0.70)"
9542.jpg,"(0.35, 0.70)"
