frame,gaze
517.jpg,"(0.52, 0.58)"
611.jpg,"(0.52, 0.60)"
690.jpg,"(0.35, 0.45)"
945.jpg,"(0.50, 0.60)"
1431.jpg,"(0.58, 0.76)"
2040.jpg,"(0.50, 0.70)"
2186.jpg,"(0.35, 0.60)"
2471.jpg,"(0.45, 0.60)"
2571.jpg,"(0.45, 0.60)"
2630.jpg,"(0.65, 0.60)"
2790.jpg,"(0.65, 0.65)"
2844.jpg,"(0.50, 0.60)"
2941.jpg,"(0.75, 0.65)"
3078.jpg,"(0.45, 0.65)"
3334.jpg,"(0.58, 0.49)"
3740.jpg,"(0.35, 0.65)"
4450.jpg,"(0.85, 0.65)"
4857.jpg,"(0.65, 0.75)"
4947.jpg,"(0.50, 0.40)"
5034.jpg,"(0.50, 0.35)"
5343.jpg,"(0.58, 0.42)"
5668.jpg,"(0.50, 0.60)"
5711.jpg,"(0.35, 0.45)"
5769.jpg,"(0.35, 0.45)"
5925.jpg,"(0.35, 0.25)"
6260.jpg,"(0.45, 0.60)"
6446.jpg,"(0.45, 0.35)"
6689.jpg,"(0.62, 0.85)"
10069.jpg,"(0.45, 0.65)"
11072.jpg,"(0.25, 0.65)"
12409.jpg,"(0.45, 0.65)"
12848.jpg,"(0.15, 0.65)"
13598.jpg,"(0.52, 0.63)"
14134.jpg,"(0.35, 0.65)"
14672.jpg,"(0.45, 0.65)"
15206.jpg,"(0.35, 0.65)"
15309.jpg,"(0.52, 0.63)"
15587.jpg,"(0.35, 0.72)"
16347.jpg,"(0.48, 0.69)"
16610.jpg,"(0.25, 0.60)"
17004.jpg,"(0.45, 0.60)"
17065.jpg,"(0.45, 0.65)"
17314.jpg,"(0.45, 0.58)"
17476.jpg,"(0.45, 0.65)"
18673.jpg,"(0.48, 0.62)"
18926.jpg,"(0.35, 0.78)"
19508.jpg,"(0.35, 0.65)"
19893.jpg,"(0.50, 0.60)"
20032.jpg,"(0.35, 0.80)"
20210.jpg,"(0.45, 0.60)"
20647.jpg,"(0.45, 0.75)"
21256.jpg,"(0.65, 0.58)"
21550.jpg,"(0.45, 0.85)"
21770.jpg,"(0.58, 0.64)"
22181.jpg,"(0.45, 0.70)"
22381.jpg,"(0.54, 0.68)"
22748.jpg,"(0.52, 0.68)"
23021.jpg,"(0.45, 0.55)"
23309.jpg,"(0.75, 0.45)"
23530.jpg,"(0.45, 0.65)"
23806.jpg,"(0.52, 0.68)"
24072.jpg,"(0.52, 0.68)"
24964.jpg,"(0.52, 0.74)"
25166.jpg,"(0.52, 0.68)"
25832.jpg,"(0.56, 0.72)"
26127.jpg,"(0.50, 0.45)"
26723.jpg,"(0.45, 0.70)"
26851.jpg,"(0.45, 0.65)"
27125.jpg,"(0.35, 0.70)"
27274.jpg,"(0.65, 0.62)"
27474.jpg,"(0.45, 0.65)"
27780.jpg,"(0.35, 0.70)"
28466.jpg,"(0.48, 0.65)"
29636.jpg,"(0.45, 0.65)"
30107.jpg,"(0.54, 0.68)"
31451.jpg,"(0.52, 0.68)"
