frame,gaze
157.jpg,"(0.58, 0.69)"
488.jpg,"(0.58, 0.79)"
883.jpg,"(0.52, 0.79)"
993.jpg,"(0.35, 0.55)"
1465.jpg,"(0.65, 0.70)"
1985.jpg,"(0.52, 0.84)"
2094.jpg,"(0.50, 0.60)"
2220.jpg,"(0.52, 0.68)"
2505.jpg,"(0.35, 0.65)"
2802.jpg,"(0.50, 0.50)"
2941.jpg,"(0.50, 0.50)"
5748.jpg,"(0.50, 0.65)"
5817.jpg,"(0.45, 0.60)"
6467.jpg,"(0.35, 0.65)"
6591.jpg,"(0.35, 0.75)"
6881.jpg,"(0.50, 0.60)"
7381.jpg,"(0.35, 0.65)"
7574.jpg,"(0.50, 0.60)"
7784.jpg,"(0.55, 0.60)"
8434.jpg,"(0.55, 0.65)"
8570.jpg,"(0.65, 0.75)"
8766.jpg,"(0.45, 0.65)"
9143.jpg,"(0.50, 0.60)"
9577.jpg,"(0.58, 0.72)"
9965.jpg,"(0.48, 0.76)"
