frame,gaze
575.jpg,"(0.35, 0.65)"
1006.jpg,"(0.50, 0.55)"
1137.jpg,"(0.52, 0.58)"
1549.jpg,"(0.50, 0.50)"
1908.jpg,"(0.55, 0.48)"
2066.jpg,"(0.52, 0.64)"
2657.jpg,"(0.52, 0.68)"
2771.jpg,"(0.45, 0.60)"
3194.jpg,"(0.50, 0.48)"
3229.jpg,"(0.50, 0.60)"
3323.jpg,"(0.50, 0.50)"
4256.jpg,"(0.58, 0.56)"
4441.jpg,"(0.65, 0.58)"
4779.jpg,"(0.58, 0.62)"
4800.jpg,"(0.52, 0.63)"
4840.jpg,"(0.52, 0.68)"
4982.jpg,"(0.52, 0.71)"
5268.jpg,"(0.75, 0.60)"
5322.jpg,"(0.35, 0.65)"
5888.jpg,"(0.52, 0.60)"
6114.jpg,"(0.50, 0.60)"
6557.jpg,"(0.52, 0.60)"
6641.jpg,"(0.52, 0.60)"
7016.jpg,"(0.52, 0.60)"
9032.jpg,"(0.50, 0.65)"
9163.jpg,"(0.50, 0.65)"
