frame,gaze
322.jpg,"(0.45, 0.60)"
527.jpg,"(0.65, 0.60)"
669.jpg,"(0.45, 0.60)"
740.jpg,"(0.52, 0.68)"
2731.jpg,"(0.52, 0.64)"
2976.jpg,"(0.45, 0.55)"
4136.jpg,"(0.58, 0.67)"
5938.jpg,"(0.58, 0.67)"
6284.jpg,"(0.35, 0.65)"
6478.jpg,"(0.50, 0.60)"
6624.jpg,"(0.58, 0.62)"
6835.jpg,"(0.58, 0.62)"
6970.jpg,"(0.52, 0.64)"
7084.jpg,"(0.35, 0.65)"
7160.jpg,"(0.50, 0.45)"
7419.jpg,"(0.35, 0.65)"
7825.jpg,"(0.35, 0.65)"
8185.jpg,"(0.52, 0.68)"
8859.jpg,"(0.45, 0.75)"
9331.jpg,"(0.45, 0.65)"
10602.jpg,"(0.54, 0.71)"
10743.jpg,"(0.45, 0.65)"
10858.jpg,"(0.56, 0.62)"
11355.jpg,"(0.35, 0.85)"
11611.jpg,"(0.58, 0.62)"
11976.jpg,"(0.58, 0.64)"
12190.jpg,"(0.52, 0.68)"
12508.jpg,"(0.45, 0.65)"
12771.jpg,"(0.48, 0.56)"
12922.jpg,"(0.35, 0.65)"
13387.jpg,"(0.65, 0.60)"
13539.jpg,"(0.35, 0.65)"
14163.jpg,"(0.45, 0.85)"
14875.jpg,"(0.52, 0.60)"
15318.jpg,"(0.52, 0.68)"
16355.jpg,"(0.52, 0.60)"
16692.jpg,"(0.35, 0.70)"
17228.jpg,"(0.52, 0.61)"
17773.jpg,"(0.52, 0.71)"
18600.jpg,"(0.45, 0.60)"
19339.jpg,"(0.55, 0.65)"
19966.jpg,"(0.52, 0.64)"
20348.jpg,"(0.38, 0.67)"
25035.jpg,"(0.58, 0.62)"
25530.jpg,"(0.50, 0.65)"
26024.jpg,"(0.35, 0.60)"
26309.jpg,"(0.50, 0.75)"
27902.jpg,"(0.45, 0.65)"
28158.jpg,"(0.52, 0.78)"
28346.jpg,"(0.52, 0.60)"
