frame,gaze
685.jpg,"(0.50, 0.60)"
791.jpg,"(0.50, 0.60)"
1927.jpg,"(0.52, 0.58)"
1993.jpg,"(0.45, 0.65)"
2584.jpg,"(0.58, 0.62)"
2684.jpg,"(0.65, 0.65)"
3335.jpg,"(0.50, 0.65)"
3414.jpg,"(0.50, 0.60)"
3778.jpg,"(0.50, 0.75)"
3792.jpg,"(0.65, 0.70)"
4207.jpg,"(0.75, 0.80)"
4357.jpg,"(0.58, 0.54)"
5153.jpg,"(0.65, 0.55)"
5325.jpg,"(0.58, 0.60)"
5383.jpg,"(0.65, 0.62)"
6328.jpg,"(0.58, 0.62)"
6562.jpg,"(0.75, 0.60)"
7081.jpg,"(0.52, 0.65)"
7612.jpg,"(0.65, 0.65)"
8766.jpg,"(0.48, 0.65)"
9575.jpg,"(0.75, 0.80)"
