frame,gaze
1091.jpg,"(0.65, 0.70)"
2411.jpg,"(0.65, 0.82)"
2484.jpg,"(0.75, 0.48)"
2785.jpg,"(0.50, 0.60)"
3210.jpg,"(0.54, 0.72)"
3545.jpg,"(0.52, 0.74)"
3636.jpg,"(0.52, 0.64)"
3727.jpg,"(0.52, 0.76)"
3953.jpg,"(0.50, 0.60)"
4131.jpg,"(0.52, 0.48)"
4261.jpg,"(0.58, 0.52)"
4838.jpg,"(0.45, 0.45)"
5222.jpg,"(0.35, 0.60)"
5294.jpg,"(0.50, 0.45)"
6240.jpg,"(0.65, 0.65)"
6453.jpg,"(0.52, 0.48)"
6496.jpg,"(0.50, 0.48)"
6763.jpg,"(0.35, 0.80)"
7219.jpg,"(0.65, 0.55)"
7692.jpg,"(0.52, 0.68)"
7791.jpg,"(0.52, 0.68)"
8168.jpg,"(0.60, 0.70)"
8337.jpg,"(0.52, 0.64)"
8469.jpg,"(0.35, 0.60)"
8550.jpg,"(0.65, 0.65)"
8667.jpg,"(0.45, 0.45)"
8712.jpg,"(0.65, 0.48)"
8770.jpg,"(0.55, 0.65)"
8835.jpg,"(0.58, 0.49)"
8888.jpg,"(0.58, 0.49)"
8954.jpg,"(0.58, 0.45)"
9387.jpg,"(0.50, 0.60)"
9809.jpg,"(0.58, 0.62)"
9896.jpg,"(0.45, 0.60)"
10081.jpg,"(0.15, 0.48)"
10139.jpg,"(0.45, 0.45)"
10157.jpg,"(0.45, 0.50)"
10170.jpg,"(0.45, 0.55)"
10332.jpg,"(0.45, 0.60)"
10491.jpg,"(0.52, 0.64)"
10516.jpg,"(0.52, 0.62)"
10621.jpg,"(0.58, 0.62)"
10645.jpg,"(0.58, 0.62)"
11038.jpg,"(0.45, 0.60)"
11596.jpg,"(0.52, 0.68)"
13085.jpg,"(0.56, 0.68)"
13174.jpg,"(0.52, 0.68)"
13265.jpg,"(0.50, 0.60)"
13281.jpg,"(0.54, 0.62)"
13295.jpg,"(0.52, 0.60)"
13316.jpg,"(0.52, 0.60)"
13931.jpg,"(0.56, 0.72)"
14033.jpg,"(0.55, 0.60)"
14238.jpg,"(0.45, 0.75)"
14528.jpg,"(0.45, 0.70)"
14760.jpg,"(0.52, 0.87)"
14819.jpg,"(0.52, 0.68)"
14934.jpg,"(0.55, 0.68)"
15230.jpg,"(0.45, 0.55)"
15551.jpg,"(0.45, 0.65)"
15850.jpg,"(0.52, 0.64)"
16502.jpg,"(0.52, 0.64)"
16961.jpg,"(0.65, 0.72)"
17021.jpg,"(0.45, 0.55)"
17321.jpg,"(0.52, 0.68)"
18357.jpg,"(0.52, 0.54)"
18482.jpg,"(0.52, 0.84)"
18576.jpg,"(0.52, 0.64)"
18723.jpg,"(0.48, 0.60)"
19984.jpg,"(0.52, 0.78)"
20075.jpg,"(0.45, 0.55)"
20284.jpg,"(0.58, 0.64)"
20383.jpg,"(0.50, 0.60)"
23822.jpg,"(0.45, 0.65)"
24264.jpg,"(0.75, 0.85)"
24389.jpg,"(0.52, 0.68)"
24629.jpg,"(0.45, 0.65)"
25116.jpg,"(0.52, 0.64)"
25256.jpg,"(0.65, 0.70)"
25308.jpg,"(0.65, 0.75)"
25462.jpg,"(0.52, 0.65)"
25609.jpg,"(0.55, 0.65)"
25914.jpg,"(0.52, 0.68)"
26063.jpg,"(0.50, 0.60)"
26158.jpg,"(0.50, 0.45)"
26253.jpg,"(0.58, 0.72)"
26516.jpg,"(0.58, 0.63)"
26644.jpg,"(0.52, 0.48)"
27385.jpg,"(0.52, 0.64)"
27581.jpg,"(0.65, 0.65)"
27898.jpg,"(0.45, 0.48)"
27985.jpg,"(0.50, 0.50)"
28261.jpg,"(0.52, 0.64)"
28336.jpg,"(0.58, 0.64)"
28425.jpg,"(0.65, 0.65)"
28734.jpg,"(0.58, 0.62)"
28870.jpg,"(0.52, 0.64)"
28989.jpg,"(0.50, 0.60)"
29205.jpg,"(0.50, 0.60)"
29240.jpg,"(0.52, 0.65)"
29555.jpg,"(0.35, 0.75)"
29883.jpg,"(0.35, 0.65)"
30210.jpg,"(0.65, 0.75)"
30285.jpg,"(0.25, 0.65)"
30491.jpg,"(0.45, 0.55)"
31466.jpg,"(0.45, 0.55)"
31910.jpg,"(0.45, 0.65)"
32005.jpg,"(0.50, 0.60)"
32130.jpg,"(0.65, 0.75)"
32209.jpg,"(0.35, 0.65)"
32249.jpg,"(0.35, 0.42)"
32321.jpg,"(0.54, 0.67)"
32388.jpg,"(0.52, 0.64)"
32436.jpg,"(0.54, 0.62)"
32466.jpg,"(0.58, 0.64)"
32531.jpg,"(0.60, 0.65)"
32644.jpg,"(0.52, 0.68)"
32747.jpg,"(0.45, 0.80)"
32854.jpg,"(0.52, 0.54)"
32902.jpg,"(0.45, 0.60)"
33080.jpg,"(0.35, 0.65)"
33544.jpg,"(0.65, 0.70)"
33692.jpg,"(0.52, 0.60)"
33918.jpg,"(0.50, 0.60)"
34136.jpg,"(0.52, 0.68)"
34373.jpg,"(0.65, 0.48)"
