frame,gaze
91.jpg,"(0.50, 0.45)"
535.jpg,"(0.50, 0.60)"
685.jpg,"(0.65, 0.75)"
745.jpg,"(0.45, 0.60)"
1642.jpg,"(0.75, 0.65)"
1678.jpg,"(0.50, 0.45)"
2186.jpg,"(0.35, 0.45)"
2221.jpg,"(0.35, 0.45)"
2583.jpg,"(0.45, 0.65)"
2803.jpg,"(0.45, 0.60)"
2990.jpg,"(0.50, 0.60)"
3701.jpg,"(0.35, 0.45)"
3850.jpg,"(0.35, 0.45)"
3974.jpg,"(0.35, 0.45)"
4167.jpg,"(0.45, 0.60)"
4364.jpg,"(0.50, 0.45)"
4395.jpg,"(0.65, 0.60)"
4776.jpg,"(0.45, 0.65)"
4956.jpg,"(0.45, 0.60)"
5224.jpg,"(0.50, 0.60)"
5351.jpg,"(0.35, 0.45)"
5640.jpg,"(0.45, 0.60)"
5839.jpg,"(0.45, 0.65)"
