frame,gaze
427.jpg,"(0.52, 0.68)"
547.jpg,"(0.52, 0.68)"
691.jpg,"(0.50, 0.60)"
1221.jpg,"(0.52, 0.68)"
1366.jpg,"(0.50, 0.60)"
1613.jpg,"(0.45, 0.65)"
1986.jpg,"(0.45, 0.60)"
2078.jpg,"(0.50, 0.50)"
2359.jpg,"(0.50, 0.60)"
2373.jpg,"(0.65, 0.75)"
2883.jpg,"(0.65, 0.75)"
3024.jpg,"(0.54, 0.48)"
3594.jpg,"(0.65, 0.55)"
3843.jpg,"(0.55, 0.65)"
3921.jpg,"(0.56, 0.64)"
3952.jpg,"(0.50, 0.60)"
4056.jpg,"(0.45, 0.55)"
4355.jpg,"(0.52, 0.76)"
4987.jpg,"(0.59, 0.64)"
5056.jpg,"(0.50, 0.60)"
5232.jpg,"(0.54, 0.65)"
6315.jpg,"(0.42, 0.45)"
