frame,gaze
997.jpg,"(0.52, 0.78)"
1699.jpg,"(0.45, 0.65)"
1860.jpg,"(0.45, 0.65)"
2149.jpg,"(0.45, 0.65)"
2811.jpg,"(0.50, 0.55)"
3373.jpg,"(0.45, 0.55)"
3980.jpg,"(0.50, 0.60)"
4381.jpg,"(0.50, 0.60)"
4718.jpg,"(0.50, 0.60)"
5174.jpg,"(0.35, 0.65)"
5358.jpg,"(0.50, 0.65)"
5529.jpg,"(0.45, 0.65)"
5668.jpg,"(0.45, 0.60)"
5944.jpg,"(0.45, 0.68)"
5998.jpg,"(0.50, 0.70)"
6421.jpg,"(0.50, 0.70)"
6429.jpg,"(0.50, 0.70)"
6882.jpg,"(0.50, 0.65)"
6964.jpg,"(0.50, 0.60)"
7813.jpg,"(0.50, 0.75)"
7986.jpg,"(0.35, 0.60)"
8232.jpg,"(0.50, 0.60)"
8478.jpg,"(0.72, 0.69)"
8661.jpg,"(0.50, 0.60)"
8926.jpg,"(0.50, 0.60)"
