frame,gaze
907.jpg,"(0.50, 0.60)"
1510.jpg,"(0.65, 0.65)"
1974.jpg,"(0.35, 0.45)"
2533.jpg,"(0.50, 0.60)"
2667.jpg,"(0.45, 0.75)"
2815.jpg,"(0.35, 0.65)"
2901.jpg,"(0.45, 0.72)"
4488.jpg,"(0.50, 0.65)"
6358.jpg,"(0.55, 0.65)"
7458.jpg,"(0.50, 0.60)"
8280.jpg,"(0.45, 0.60)"
8767.jpg,"(0.52, 0.64)"
10924.jpg,"(0.35, 0.65)"
11226.jpg,"(0.52, 0.68)"
11312.jpg,"(0.52, 0.68)"
11766.jpg,"(0.50, 0.65)"
12275.jpg,"(0.45, 0.55)"
12615.jpg,"(0.35, 0.65)"
14008.jpg,"(0.50, 0.60)"
16274.jpg,"(0.50, 0.65)"
16857.jpg,"(0.50, 0.60)"
16928.jpg,"(0.52, 0.63)"
17685.jpg,"(0.52, 0.68)"
18028.jpg,"(0.45, 0.65)"
18482.jpg,"(0.45, 0.65)"
18860.jpg,"(0.52, 0.64)"
19027.jpg,"(0.45, 0.65)"
20181.jpg,"(0.52, 0.68)"
20415.jpg,"(0.35, 0.78)"
20705.jpg,"(0.58, 0.64)"
22120.jpg,"(0.45, 0.65)"
22463.jpg,"(0.52, 0.63)"
22732.jpg,"(0.52, 0.68)"
23225.jpg,"(0.58, 0.67)"
23674.jpg,"(0.45, 0.55)"
24442.jpg,"(0.45, 0.62)"
24967.jpg,"(0.45, 0.65)"
25280.jpg,"(0.35, 0.68)"
25989.jpg,"(0.45, 0.65)"
27292.jpg,"(0.35, 0.55)"
27907.jpg,"(0.45, 0.65)"
