frame,gaze
951.jpg,"(0.52, 0.71)"
1133.jpg,"(0.50, 0.60)"
1269.jpg,"(0.35, 0.65)"
1640.jpg,"(0.65, 0.65)"
1801.jpg,"(0.35, 0.45)"
1883.jpg,"(0.50, 0.65)"
2085.jpg,"(0.35, 0.60)"
2518.jpg,"(0.65, 0.75)"
2694.jpg,"(0.52, 0.64)"
2774.jpg,"(0.52, 0.74)"
3154.jpg,"(0.45, 0.75)"
3212.jpg,"(0.50, 0.60)"
3495.jpg,"(0.52, 0.68)"
3601.jpg,"(0.65, 0.75)"
3672.jpg,"(0.45, 0.55)"
4112.jpg,"(0.50, 0.70)"
4201.jpg,"(0.45, 0.65)"
4414.jpg,"(0.35, 0.75)"
4897.jpg,"(0.50, 0.60)"
5628.jpg,"(0.50, 0.60)"
6110.jpg,"(0.50, 0.45)"
6216.jpg,"(0.58, 0.64)"
6563.jpg,"(0.35, 0.65)"
6674.jpg,"(0.45, 0.75)"
6750.jpg,"(0.45, 0.70)"
7046.jpg,"(0.52, 0.74)"
7176.jpg,"(0.50, 0.60)"
7599.jpg,"(0.50, 0.60)"
8117.jpg,"(0.55, 0.45)"
8200.jpg,"(0.65, 0.78)"
8613.jpg,"(0.60, 0.75)"
8670.jpg,"(0.54, 0.76)"
8791.jpg,"(0.58, 0.76)"
8829.jpg,"(0.54, 0.78)"
9383.jpg,"(0.50, 0.65)"
10716.jpg,"(0.54, 0.63)"
10761.jpg,"(0.52, 0.76)"
11026.jpg,"(0.48, 0.65)"
11666.jpg,"(0.35, 0.75)"
11808.jpg,"(0.50, 0.50)"
11884.jpg,"(0.52, 0.68)"
12106.jpg,"(0.52, 0.68)"
13445.jpg,"(0.52, 0.71)"
13574.jpg,"(0.50, 0.80)"
13625.jpg,"(0.50, 0.60)"
13673.jpg,"(0.55, 0.55)"
13715.jpg,"(0.75, 0.75)"
