frame,gaze
554.jpg,"(0.50, 0.60)"
851.jpg,"(0.55, 0.60)"
898.jpg,"(0.45, 0.65)"
919.jpg,"(0.45, 0.65)"
937.jpg,"(0.45, 0.60)"
1081.jpg,"(0.35, 0.65)"
1456.jpg,"(0.50, 0.40)"
1950.jpg,"(0.45, 0.75)"
3689.jpg,"(0.50, 0.45)"
4909.jpg,"(0.45, 0.55)"
5605.jpg,"(0.50, 0.45)"
5986.jpg,"(0.50, 0.70)"
6099.jpg,"(0.45, 0.65)"
6238.jpg,"(0.50, 0.60)"
6419.jpg,"(0.50, 0.60)"
6663.jpg,"(0.52, 0.55)"
7179.jpg,"(0.50, 0.60)"
7643.jpg,"(0.35, 0.65)"
7916.jpg,"(0.45, 0.68)"
8552.jpg,"(0.52, 0.60)"
8941.jpg,"(0.45, 0.65)"
9331.jpg,"(0.50, 0.60)"
9486.jpg,"(0.45, 0.60)"
9570.jpg,"(0.50, 0.45)"
