frame,gaze
322.jpg,"(0.58, 0.60)"
398.jpg,"(0.52, 0.65)"
529.jpg,"(0.50, 0.60)"
882.jpg,"(0.52, 0.65)"
1115.jpg,"(0.52, 0.60)"
1286.jpg,"(0.52, 0.68)"
1345.jpg,"(0.52, 0.74)"
1614.jpg,"(0.52, 0.68)"
1622.jpg,"(0.50, 0.70)"
1949.jpg,"(0.45, 0.65)"
1988.jpg,"(0.45, 0.60)"
2255.jpg,"(0.52, 0.60)"
2332.jpg,"(0.56, 0.62)"
2421.jpg,"(0.50, 0.60)"
2582.jpg,"(0.50, 0.60)"
3172.jpg,"(0.50, 0.60)"
3679.jpg,"(0.50, 0.60)"
4037.jpg,"(0.52, 0.64)"
4197.jpg,"(0.52, 0.63)"
4404.jpg,"(0.56, 0.74)"
4569.jpg,"(0.55, 0.65)"
4877.jpg,"(0.30, 0.50)"
