frame,gaze
338.jpg,"(0.54, 0.78)"
799.jpg,"(0.54, 0.68)"
859.jpg,"(0.50, 0.85)"
1048.jpg,"(0.50, 0.65)"
1342.jpg,"(0.45, 0.65)"
1448.jpg,"(0.52, 0.74)"
1525.jpg,"(0.50, 0.60)"
2320.jpg,"(0.45, 0.65)"
2782.jpg,"(0.50, 0.65)"
2968.jpg,"(0.65, 0.75)"
3417.jpg,"(0.35, 0.85)"
3560.jpg,"(0.55, 0.68)"
3624.jpg,"(0.50, 0.50)"
3767.jpg,"(0.52, 0.76)"
4481.jpg,"(0.52, 0.71)"
5083.jpg,"(0.75, 0.90)"
5212.jpg,"(0.45, 0.68)"
5528.jpg,"(0.35, 0.45)"
5628.jpg,"(0.65, 0.85)"
5751.jpg,"(0.56, 0.48)"
6332.jpg,"(0.52, 0.76)"
6445.jpg,"(0.35, 0.65)"
6599.jpg,"(0.35, 0.65)"
7141.jpg,"(0.50, 0.70)"
7212.jpg,"(0.35, 0.60)"
7300.jpg,"(0.50, 0.70)"
7702.jpg,"(0.25, 0.68)"
7801.jpg,"(0.50, 0.60)"
8454.jpg,"(0.58, 0.79)"
8715.jpg,"(0.35, 0.45)"
9480.jpg,"(0.50, 0.60)"
10157.jpg,"(0.52, 0.76)"
10294.jpg,"(0.35, 0.80)"
10710.jpg,"(0.50, 0.75)"
10869.jpg,"(0.50, 0.65)"
10916.jpg,"(0.55, 0.60)"
11300.jpg,"(0.45, 0.85)"
11460.jpg,"(0.50, 0.65)"
11797.jpg,"(0.75, 0.85)"
13077.jpg,"(0.55, 0.85)"
13280.jpg,"(0.52, 0.78)"
14074.jpg,"(0.35, 0.85)"
14315.jpg,"(0.54, 0.72)"
14653.jpg,"(0.35, 0.65)"
15291.jpg,"(0.58, 0.69)"
15443.jpg,"(0.52, 0.54)"
15894.jpg,"(0.52, 0.60)"
15966.jpg,"(0.50, 0.80)"
16261.jpg,"(0.25, 0.75)"
16520.jpg,"(0.50, 0.50)"
16587.jpg,"(0.65, 0.80)"
16775.jpg,"(0.45, 0.75)"
17099.jpg,"(0.65, 0.60)"
17203.jpg,"(0.35, 0.65)"
17343.jpg,"(0.35, 0.75)"
17515.jpg,"(0.50, 0.60)"
17572.jpg,"(0.50, 0.70)"
17675.jpg,"(0.62, 0.71)"
17952.jpg,"(0.35, 0.75)"
19130.jpg,"(0.52, 0.60)"
19200.jpg,"(0.54, 0.65)"
20446.jpg,"(0.58, 0.74)"
20971.jpg,"(0.54, 0.73)"
21284.jpg,"(0.65, 0.75)"
21633.jpg,"(0.50, 0.60)"
