frame,gaze
483.jpg,"(0.52, 0.65)"
617.jpg,"(0.45, 0.60)"
1276.jpg,"(0.85, 0.65)"
1560.jpg,"(0.50, 0.60)"
1748.jpg,"(0.52, 0.65)"
2356.jpg,"(0.55, 0.65)"
2848.jpg,"(0.55, 0.65)"
4908.jpg,"(0.52, 0.60)"
5072.jpg,"(0.65, 0.65)"
5105.jpg,"(0.75, 0.65)"
5324.jpg,"(0.56, 0.68)"
5365.jpg,"(0.58, 0.65)"
5544.jpg,"(0.55, 0.70)"
5554.jpg,"(0.65, 0.75)"
5694.jpg,"(0.56, 0.63)"
7549.jpg,"(0.50, 0.60)"
7563.jpg,"(0.65, 0.60)"
7744.jpg,"(0.45, 0.75)"
7847.jpg,"(0.65, 0.70)"
7913.jpg,"(0.45, 0.55)"
8243.jpg,"(0.45, 0.65)"
8316.jpg,"(0.45, 0.70)"
8379.jpg,"(0.52, 0.68)"
8439.jpg,"(0.52, 0.65)"
8480.jpg,"(0.52, 0.68)"
8878.jpg,"(0.50, 0.60)"
