frame,gaze
129.jpg,"(0.50, 0.60)"
209.jpg,"(0.50, 0.60)"
444.jpg,"(0.55, 0.60)"
469.jpg,"(0.58, 0.74)"
727.jpg,"(0.45, 0.65)"
818.jpg,"(0.45, 0.65)"
1203.jpg,"(0.45, 0.75)"
2574.jpg,"(0.50, 0.65)"
2753.jpg,"(0.52, 0.68)"
3050.jpg,"(0.52, 0.68)"
3217.jpg,"(0.35, 0.65)"
3403.jpg,"(0.58, 0.72)"
3519.jpg,"(0.45, 0.65)"
3584.jpg,"(0.50, 0.60)"
3633.jpg,"(0.50, 0.60)"
3865.jpg,"(0.50, 0.60)"
3937.jpg,"(0.45, 0.65)"
4308.jpg,"(0.65, 0.75)"
4468.jpg,"(0.35, 0.45)"
4641.jpg,"(0.55, 0.68)"
4686.jpg,"(0.65, 0.65)"
4803.jpg,"(0.52, 0.63)"
5051.jpg,"(0.54, 0.68)"
5405.jpg,"(0.47, 0.86)"
5470.jpg,"(0.15, 0.30)"
5541.jpg,"(0.60, 0.75)"
5590.jpg,"(0.45, 0.70)"
5642.jpg,"(0.52, 0.74)"
5797.jpg,"(0.52, 0.74)"
5851.jpg,"(0.50, 0.75)"
5993.jpg,"(0.52, 0.74)"
6173.jpg,"(0.52, 0.74)"
6248.jpg,"(0.52, 0.74)"
6480.jpg,"(0.45, 0.75)"
6556.jpg,"(0.55, 0.75)"
6676.jpg,"(0.45, 0.65)"
7117.jpg,"(0.50, 0.70)"
