frame,gaze
382.jpg,"(0.75, 0.65)"
678.jpg,"(0.50, 0.45)"
1064.jpg,"(0.50, 0.60)"
1543.jpg,"(0.52, 0.64)"
2224.jpg,"(0.35, 0.70)"
2455.jpg,"(0.52, 0.70)"
2503.jpg,"(0.52, 0.74)"
2583.jpg,"(0.52, 0.68)"
2918.jpg,"(0.50, 0.65)"
2992.jpg,"(0.45, 0.75)"
3200.jpg,"(0.58, 0.76)"
3366.jpg,"(0.45, 0.70)"
3685.jpg,"(0.52, 0.68)"
3742.jpg,"(0.48, 0.69)"
3899.jpg,"(0.52, 0.68)"
4182.jpg,"(0.38, 0.96)"
4311.jpg,"(0.45, 0.72)"
5021.jpg,"(0.58, 0.60)"
5125.jpg,"(0.35, 0.55)"
5404.jpg,"(0.45, 0.65)"
5506.jpg,"(0.35, 0.65)"
5692.jpg,"(0.45, 0.75)"
5758.jpg,"(0.50, 0.50)"
5835.jpg,"(0.65, 0.65)"
6057.jpg,"(0.54, 0.68)"
6093.jpg,"(0.48, 0.65)"
6292.jpg,"(0.75, 0.65)"
6568.jpg,"(0.45, 0.65)"
6735.jpg,"(0.50, 0.60)"
6861.jpg,"(0.52, 0.64)"
7057.jpg,"(0.45, 0.60)"
7110.jpg,"(0.45, 0.78)"
7632.jpg,"(0.52, 0.64)"
7689.jpg,"(0.52, 0.74)"
7947.jpg,"(0.52, 0.68)"
8229.jpg,"(0.50, 0.45)"
8604.jpg,"(0.35, 0.60)"
9392.jpg,"(0.52, 0.60)"
9625.jpg,"(0.35, 0.55)"
9969.jpg,"(0.65, 0.70)"
10300.jpg,"(0.45, 0.75)"
10538.jpg,"(0.65, 0.55)"
10920.jpg,"(0.65, 0.70)"
11209.jpg,"(0.52, 0.71)"
11251.jpg,"(0.52, 0.68)"
11424.jpg,"(0.35, 0.65)"
11508.jpg,"(0.52, 0.63)"
11787.jpg,"(0.52, 0.60)"
12271.jpg,"(0.65, 0.70)"
12766.jpg,"(0.50, 0.65)"
12984.jpg,"(0.58, 0.62)"
13549.jpg,"(0.52, 0.64)"
13723.jpg,"(0.45, 0.60)"
14203.jpg,"(0.35, 0.65)"
14321.jpg,"(0.48, 0.56)"
14598.jpg,"(0.45, 0.60)"
14642.jpg,"(0.45, 0.55)"
15596.jpg,"(0.58, 0.79)"
