frame,gaze
830.jpg,"(0.52, 0.60)"
969.jpg,"(0.58, 0.62)"
1214.jpg,"(0.58, 0.64)"
1335.jpg,"(0.50, 0.60)"
1538.jpg,"(0.75, 0.65)"
1753.jpg,"(0.50, 0.60)"
1942.jpg,"(0.35, 0.55)"
2161.jpg,"(0.52, 0.65)"
2180.jpg,"(0.50, 0.50)"
2386.jpg,"(0.50, 0.60)"
2390.jpg,"(0.52, 0.60)"
2527.jpg,"(0.52, 0.65)"
2580.jpg,"(0.50, 0.60)"
2867.jpg,"(0.52, 0.41)"
3129.jpg,"(0.50, 0.70)"
3162.jpg,"(0.35, 0.65)"
3496.jpg,"(0.65, 0.55)"
3825.jpg,"(0.55, 0.45)"
4222.jpg,"(0.58, 0.72)"
4287.jpg,"(0.50, 0.70)"
4392.jpg,"(0.50, 0.70)"
4516.jpg,"(0.65, 0.75)"
4808.jpg,"(0.65, 0.78)"
4907.jpg,"(0.45, 0.65)"
5211.jpg,"(0.54, 0.53)"
5382.jpg,"(0.50, 0.60)"
5523.jpg,"(0.62, 0.67)"
5739.jpg,"(0.45, 0.45)"
5982.jpg,"(0.58, 0.89)"
6030.jpg,"(0.45, 0.65)"
