frame,gaze
282.jpg,"(0.56, 0.78)"
519.jpg,"(0.58, 0.60)"
982.jpg,"(0.75, 0.60)"
1355.jpg,"(0.58, 0.69)"
1762.jpg,"(0.45, 0.65)"
2335.jpg,"(0.58, 0.54)"
2433.jpg,"(0.35, 0.65)"
2504.jpg,"(0.35, 0.70)"
3195.jpg,"(0.50, 0.65)"
3401.jpg,"(0.52, 0.68)"
3676.jpg,"(0.50, 0.75)"
3741.jpg,"(0.35, 0.65)"
4248.jpg,"(0.54, 0.72)"
4454.jpg,"(0.52, 0.60)"
4522.jpg,"(0.54, 0.62)"
4874.jpg,"(0.58, 0.64)"
5379.jpg,"(0.54, 0.68)"
5994.jpg,"(0.35, 0.65)"
6660.jpg,"(0.45, 0.70)"
7856.jpg,"(0.35, 0.65)"
7927.jpg,"(0.25, 0.65)"
8034.jpg,"(0.54, 0.48)"
8138.jpg,"(0.20, 0.75)"
8384.jpg,"(0.52, 0.71)"
9133.jpg,"(0.56, 0.58)"
9560.jpg,"(0.54, 0.62)"
10208.jpg,"(0.52, 0.64)"
10274.jpg,"(0.35, 0.65)"
10457.jpg,"(0.52, 0.54)"
11007.jpg,"(0.52, 0.64)"
11080.jpg,"(0.58, 0.60)"
11150.jpg,"(0.45, 0.50)"
11291.jpg,"(0.58, 0.49)"
