frame,gaze
210.jpg,"(0.65, 0.65)"
701.jpg,"(0.50, 0.75)"
917.jpg,"(0.50, 0.60)"
1147.jpg,"(0.52, 0.74)"
1360.jpg,"(0.65, 0.75)"
1391.jpg,"(0.58, 0.62)"
1493.jpg,"(0.45, 0.65)"
1573.jpg,"(0.65, 0.70)"
1605.jpg,"(0.75, 0.55)"
1956.jpg,"(0.52, 0.74)"
2237.jpg,"(0.52, 0.74)"
2389.jpg,"(0.65, 0.55)"
2881.jpg,"(0.52, 0.64)"
3994.jpg,"(0.45, 0.65)"
4354.jpg,"(0.45, 0.55)"
4527.jpg,"(0.45, 0.70)"
4781.jpg,"(0.45, 0.78)"
4838.jpg,"(0.52, 0.64)"
4880.jpg,"(0.65, 0.70)"
6434.jpg,"(0.25, 0.65)"
6600.jpg,"(0.58, 0.69)"
6894.jpg,"(0.45, 0.65)"
7018.jpg,"(0.50, 0.60)"
8325.jpg,"(0.25, 0.55)"
8421.jpg,"(0.55, 0.55)"
9078.jpg,"(0.65, 0.55)"
9293.jpg,"(0.52, 0.63)"
9820.jpg,"(0.45, 0.70)"
9977.jpg,"(0.65, 0.72)"
10121.jpg,"(0.45, 0.68)"
10885.jpg,"(0.50, 0.45)"
11085.jpg,"(0.50, 0.45)"
11371.jpg,"(0.35, 0.45)"
11582.jpg,"(0.35, 0.65)"
11674.jpg,"(0.50, 0.45)"
11791.jpg,"(0.35, 0.45)"
11944.jpg,"(0.35, 0.45)"
12225.jpg,"(0.50, 0.50)"
12461.jpg,"(0.45, 0.60)"
12608.jpg,"(0.52, 0.56)"
12916.jpg,"(0.58, 0.52)"
13118.jpg,"(0.35, 0.75)"
13877.jpg,"(0.35, 0.65)"
14004.jpg,"(0.55, 0.60)"
14136.jpg,"(0.45, 0.50)"
14417.jpg,"(0.52, 0.48)"
14493.jpg,"(0.52, 0.58)"
14595.jpg,"(0.65, 0.48)"
14916.jpg,"(0.75, 0.60)"
15262.jpg,"(0.65, 0.55)"
15540.jpg,"(0.45, 0.55)"
15867.jpg,"(0.50, 0.60)"
16303.jpg,"(0.45, 0.60)"
16602.jpg,"(0.65, 0.75)"
16811.jpg,"(0.58, 0.69)"
16936.jpg,"(0.45, 0.60)"
17127.jpg,"(0.35, 0.65)"
17398.jpg,"(0.52, 0.68)"
17561.jpg,"(0.65, 0.72)"
17645.jpg,"(0.54, 0.62)"
17750.jpg,"(0.52, 0.68)"
17778.jpg,"(0.52, 0.76)"
17844.jpg,"(0.85, 0.65)"
18127.jpg,"(0.52, 0.48)"
18241.jpg,"(0.52, 0.50)"
18932.jpg,"(0.45, 0.60)"
19168.jpg,"(0.58, 0.62)"
19476.jpg,"(0.50, 0.60)"
19696.jpg,"(0.40, 0.50)"
20176.jpg,"(0.35, 0.65)"
20439.jpg,"(0.35, 0.55)"
20606.jpg,"(0.52, 0.63)"
21093.jpg,"(0.52, 0.54)"
21214.jpg,"(0.35, 0.52)"
22038.jpg,"(0.58, 0.60)"
22847.jpg,"(0.35, 0.78)"
23008.jpg,"(0.35, 0.55)"
23591.jpg,"(0.65, 0.48)"
24003.jpg,"(0.35, 0.55)"
24149.jpg,"(0.52, 0.60)"
24316.jpg,"(0.45, 0.60)"
24758.jpg,"(0.52, 0.68)"
24818.jpg,"(0.52, 0.48)"
25168.jpg,"(0.52, 0.64)"
25231.jpg,"(0.52, 0.64)"
26865.jpg,"(0.52, 0.64)"
26988.jpg,"(0.58, 0.67)"
27192.jpg,"(0.58, 0.47)"
27223.jpg,"(0.45, 0.65)"
27441.jpg,"(0.52, 0.58)"
27491.jpg,"(0.54, 0.62)"
27716.jpg,"(0.35, 0.65)"
27740.jpg,"(0.35, 0.45)"
27815.jpg,"(0.50, 0.30)"
27890.jpg,"(0.75, 0.65)"
28154.jpg,"(0.65, 0.60)"
28394.jpg,"(0.75, 0.65)"
28486.jpg,"(0.50, 0.60)"
