frame,gaze
162.jpg,"(0.45, 0.65)"
606.jpg,"(0.50, 0.65)"
664.jpg,"(0.50, 0.45)"
769.jpg,"(0.50, 0.45)"
1102.jpg,"(0.35, 0.75)"
1441.jpg,"(0.58, 0.74)"
1631.jpg,"(0.58, 0.64)"
2151.jpg,"(0.65, 0.45)"
2305.jpg,"(0.45, 0.35)"
2457.jpg,"(0.52, 0.60)"
2752.jpg,"(0.52, 0.68)"
3189.jpg,"(0.58, 0.47)"
3772.jpg,"(0.52, 0.48)"
3940.jpg,"(0.50, 0.45)"
4019.jpg,"(0.52, 0.64)"
4380.jpg,"(0.75, 0.48)"
4517.jpg,"(0.50, 0.50)"
4627.jpg,"(0.75, 0.80)"
4828.jpg,"(0.35, 0.58)"
4885.jpg,"(0.52, 0.68)"
5782.jpg,"(0.58, 0.64)"
6010.jpg,"(0.65, 0.45)"
6694.jpg,"(0.45, 0.65)"
7868.jpg,"(0.58, 0.67)"
7915.jpg,"(0.65, 0.48)"
7960.jpg,"(0.52, 0.54)"
8345.jpg,"(0.48, 0.52)"
8741.jpg,"(0.58, 0.62)"
8963.jpg,"(0.52, 0.54)"
9163.jpg,"(0.50, 0.45)"
9967.jpg,"(0.58, 0.52)"
10118.jpg,"(0.52, 0.58)"
10383.jpg,"(0.58, 0.54)"
10776.jpg,"(0.54, 0.52)"
11161.jpg,"(0.35, 0.65)"
11628.jpg,"(0.25, 0.65)"
12203.jpg,"(0.52, 0.60)"
12357.jpg,"(0.45, 0.65)"
13047.jpg,"(0.45, 0.65)"
13152.jpg,"(0.50, 0.60)"
