frame,gaze
2695.jpg,"(0.35, 0.75)"
2871.jpg,"(0.45, 0.65)"
2933.jpg,"(0.45, 0.60)"
3105.jpg,"(0.35, 0.75)"
3206.jpg,"(0.52, 0.74)"
3261.jpg,"(0.50, 0.60)"
3281.jpg,"(0.45, 0.65)"
3327.jpg,"(0.25, 0.70)"
3354.jpg,"(0.45, 0.65)"
3864.jpg,"(0.65, 0.63)"
3886.jpg,"(0.50, 0.65)"
4983.jpg,"(0.52, 0.60)"
5095.jpg,"(0.45, 0.65)"
5968.jpg,"(0.52, 0.60)"
6191.jpg,"(0.48, 0.65)"
6595.jpg,"(0.52, 0.61)"
6708.jpg,"(0.45, 0.65)"
6935.jpg,"(0.32, 0.91)"
7260.jpg,"(0.45, 0.55)"
7683.jpg,"(0.45, 0.60)"
7712.jpg,"(0.52, 0.60)"
7940.jpg,"(0.52, 0.60)"
8026.jpg,"(0.45, 0.63)"
8320.jpg,"(0.45, 0.62)"
8843.jpg,"(0.45, 0.85)"
8961.jpg,"(0.45, 0.70)"
9047.jpg,"(0.45, 0.65)"
9329.jpg,"(0.52, 0.68)"
9404.jpg,"(0.25, 0.80)"
9421.jpg,"(0.45, 0.65)"
9432.jpg,"(0.58, 0.72)"
9469.jpg,"(0.52, 0.64)"
9678.jpg,"(0.35, 0.68)"
9719.jpg,"(0.45, 0.60)"
10242.jpg,"(0.56, 0.64)"
10288.jpg,"(0.45, 0.60)"
10355.jpg,"(0.56, 0.64)"
10382.jpg,"(0.45, 0.75)"
