frame,gaze
549.jpg,"(0.65, 0.75)"
680.jpg,"(0.50, 0.60)"
1270.jpg,"(0.55, 0.65)"
1789.jpg,"(0.15, 0.85)"
3196.jpg,"(0.45, 0.58)"
3429.jpg,"(0.35, 0.65)"
4477.jpg,"(0.65, 0.70)"
7459.jpg,"(0.25, 0.75)"
7647.jpg,"(0.50, 0.65)"
9812.jpg,"(0.55, 0.60)"
10008.jpg,"(0.65, 0.65)"
10458.jpg,"(0.45, 0.75)"
10533.jpg,"(0.65, 0.75)"
10737.jpg,"(0.65, 0.80)"
10896.jpg,"(0.45, 0.72)"
10978.jpg,"(0.65, 0.75)"
11253.jpg,"(0.58, 0.72)"
11657.jpg,"(0.75, 0.78)"
11805.jpg,"(0.54, 0.72)"
11964.jpg,"(0.60, 0.70)"
12097.jpg,"(0.52, 0.76)"
12149.jpg,"(0.58, 0.72)"
12337.jpg,"(0.35, 0.65)"
12623.jpg,"(0.58, 0.72)"
12688.jpg,"(0.65, 0.75)"
12928.jpg,"(0.75, 0.75)"
13443.jpg,"(0.45, 0.75)"
13540.jpg,"(0.58, 0.62)"
13632.jpg,"(0.52, 0.64)"
14268.jpg,"(0.50, 0.60)"
14585.jpg,"(0.50, 0.70)"
15045.jpg,"(0.65, 0.80)"
16498.jpg,"(0.65, 0.55)"
16624.jpg,"(0.65, 0.70)"
16902.jpg,"(0.75, 0.65)"
17640.jpg,"(0.52, 0.81)"
17708.jpg,"(0.54, 0.72)"
17792.jpg,"(0.48, 0.76)"
18685.jpg,"(0.42, 0.86)"
18922.jpg,"(0.54, 0.62)"
19641.jpg,"(0.52, 0.64)"
19854.jpg,"(0.56, 0.82)"
20027.jpg,"(0.58, 0.76)"
20386.jpg,"(0.52, 0.68)"
20639.jpg,"(0.45, 0.60)"
20958.jpg,"(0.65, 0.68)"
21382.jpg,"(0.80, 0.70)"
21746.jpg,"(0.58, 0.62)"
22066.jpg,"(0.58, 0.76)"
22479.jpg,"(0.58, 0.86)"
22570.jpg,"(0.65, 0.80)"
22593.jpg,"(0.52, 0.64)"
22740.jpg,"(0.52, 0.78)"
22783.jpg,"(0.54, 0.86)"
23123.jpg,"(0.52, 0.71)"
23957.jpg,"(0.52, 0.68)"
24007.jpg,"(0.58, 0.74)"
24247.jpg,"(0.52, 0.74)"
24316.jpg,"(0.35, 0.78)"
