frame,gaze
315.jpg,"(0.52, 0.54)"
645.jpg,"(0.45, 0.65)"
957.jpg,"(0.52, 0.64)"
1772.jpg,"(0.45, 0.65)"
1952.jpg,"(0.45, 0.60)"
2331.jpg,"(0.45, 0.65)"
2579.jpg,"(0.48, 0.59)"
2970.jpg,"(0.45, 0.52)"
3159.jpg,"(0.52, 0.54)"
3614.jpg,"(0.50, 0.70)"
3997.jpg,"(0.35, 0.60)"
4139.jpg,"(0.45, 0.65)"
4437.jpg,"(0.25, 0.65)"
5202.jpg,"(0.45, 0.60)"
5289.jpg,"(0.45, 0.50)"
5330.jpg,"(0.48, 0.56)"
5725.jpg,"(0.45, 0.55)"
5926.jpg,"(0.50, 0.60)"
6197.jpg,"(0.45, 0.65)"
6300.jpg,"(0.48, 0.65)"
7522.jpg,"(0.45, 0.65)"
7926.jpg,"(0.35, 0.65)"
10720.jpg,"(0.65, 0.60)"
12397.jpg,"(0.52, 0.60)"
12806.jpg,"(0.58, 0.62)"
12890.jpg,"(0.52, 0.65)"
13581.jpg,"(0.54, 0.62)"
13642.jpg,"(0.35, 0.60)"
14545.jpg,"(0.52, 0.63)"
14679.jpg,"(0.50, 0.60)"
