frame,gaze
594.jpg,"(0.65, 0.70)"
974.jpg,"(0.50, 0.55)"
3358.jpg,"(0.35, 0.58)"
3427.jpg,"(0.50, 0.60)"
3591.jpg,"(0.45, 0.65)"
4144.jpg,"(0.58, 0.72)"
5289.jpg,"(0.15, 0.20)"
6680.jpg,"(0.55, 0.60)"
6903.jpg,"(0.50, 0.60)"
7507.jpg,"(0.50, 0.75)"
7706.jpg,"(0.75, 0.25)"
8272.jpg,"(0.52, 0.48)"
8548.jpg,"(0.50, 0.45)"
8693.jpg,"(0.55, 0.45)"
9689.jpg,"(0.25, 0.55)"
9853.jpg,"(0.55, 0.45)"
9937.jpg,"(0.50, 0.45)"
10263.jpg,"(0.50, 0.45)"
10304.jpg,"(0.50, 0.35)"
10949.jpg,"(0.55, 0.45)"
11008.jpg,"(0.55, 0.45)"
11368.jpg,"(0.45, 0.55)"
11976.jpg,"(0.80, 0.60)"
12395.jpg,"(0.75, 0.65)"
12538.jpg,"(0.50, 0.50)"
