frame,gaze
524.jpg,"(0.45, 0.60)"
1584.jpg,"(0.75, 0.45)"
2910.jpg,"(0.56, 0.62)"
3368.jpg,"(0.54, 0.67)"
3476.jpg,"(0.35, 0.58)"
3900.jpg,"(0.75, 0.48)"
4650.jpg,"(0.35, 0.65)"
4865.jpg,"(0.45, 0.38)"
5466.jpg,"(0.50, 0.45)"
5546.jpg,"(0.35, 0.65)"
5764.jpg,"(0.35, 0.65)"
6375.jpg,"(0.50, 0.70)"
6935.jpg,"(0.52, 0.68)"
6999.jpg,"(0.58, 0.60)"
7738.jpg,"(0.58, 0.62)"
7831.jpg,"(0.52, 0.64)"
8063.jpg,"(0.45, 0.65)"
8444.jpg,"(0.50, 0.65)"
9335.jpg,"(0.50, 0.60)"
9440.jpg,"(0.58, 0.49)"
9746.jpg,"(0.48, 0.71)"
10298.jpg,"(0.50, 0.60)"
10855.jpg,"(0.35, 0.65)"
11556.jpg,"(0.50, 0.60)"
11769.jpg,"(0.58, 0.76)"
12543.jpg,"(0.52, 0.68)"
12599.jpg,"(0.50, 0.65)"
