frame,gaze
204.jpg,"(0.50, 0.60)"
716.jpg,"(0.52, 0.60)"
1402.jpg,"(0.60, 0.55)"
1824.jpg,"(0.52, 0.63)"
2190.jpg,"(0.52, 0.58)"
2636.jpg,"(0.45, 0.60)"
2801.jpg,"(0.50, 0.60)"
3059.jpg,"(0.50, 0.50)"
3086.jpg,"(0.50, 0.60)"
3253.jpg,"(0.50, 0.55)"
3404.jpg,"(0.52, 0.60)"
3462.jpg,"(0.58, 0.49)"
3550.jpg,"(0.58, 0.60)"
3758.jpg,"(0.58, 0.64)"
3915.jpg,"(0.52, 0.60)"
3951.jpg,"(0.52, 0.63)"
4226.jpg,"(0.58, 0.60)"
4794.jpg,"(0.52, 0.60)"
4865.jpg,"(0.58, 0.52)"
5704.jpg,"(0.50, 0.55)"
6331.jpg,"(0.56, 0.60)"
6652.jpg,"(0.30, 0.60)"
