frame,gaze
405.jpg,"(0.50, 0.60)"
712.jpg,"(0.58, 0.62)"
1617.jpg,"(0.50, 0.48)"
2130.jpg,"(0.58, 0.47)"
2999.jpg,"(0.45, 0.60)"
3050.jpg,"(0.52, 0.60)"
3173.jpg,"(0.65, 0.55)"
3410.jpg,"(0.50, 0.55)"
3524.jpg,"(0.52, 0.60)"
3559.jpg,"(0.55, 0.60)"
3884.jpg,"(0.55, 0.60)"
3918.jpg,"(0.58, 0.64)"
4096.jpg,"(0.58, 0.64)"
4207.jpg,"(0.52, 0.60)"
4704.jpg,"(0.52, 0.60)"
4810.jpg,"(0.58, 0.62)"
5113.jpg,"(0.65, 0.60)"
5444.jpg,"(0.45, 0.55)"
5604.jpg,"(0.50, 0.45)"
5657.jpg,"(0.45, 0.50)"
5955.jpg,"(0.54, 0.56)"
6602.jpg,"(0.50, 0.45)"
6759.jpg,"(0.58, 0.46)"
7153.jpg,"(0.50, 0.60)"
