frame,gaze
730.jpg,"(0.52, 0.60)"
1420.jpg,"(0.35, 0.55)"
1650.jpg,"(0.50, 0.45)"
1745.jpg,"(0.50, 0.50)"
1885.jpg,"(0.50, 0.50)"
2299.jpg,"(0.35, 0.48)"
2664.jpg,"(0.52, 0.48)"
2883.jpg,"(0.50, 0.45)"
3537.jpg,"(0.50, 0.60)"
3769.jpg,"(0.52, 0.56)"
4168.jpg,"(0.52, 0.45)"
4255.jpg,"(0.50, 0.60)"
4300.jpg,"(0.52, 0.48)"
4518.jpg,"(0.58, 0.37)"
4579.jpg,"(0.56, 0.18)"
4596.jpg,"(0.52, 0.48)"
4939.jpg,"(0.54, 0.38)"
4992.jpg,"(0.52, 0.45)"
5027.jpg,"(0.45, 0.38)"
5124.jpg,"(0.50, 0.70)"
5269.jpg,"(0.50, 0.30)"
5600.jpg,"(0.35, 0.25)"
5946.jpg,"(0.50, 0.30)"
6208.jpg,"(0.50, 0.35)"
6489.jpg,"(0.75, 0.35)"
7025.jpg,"(0.35, 0.28)"
7236.jpg,"(0.45, 0.35)"
7371.jpg,"(0.56, 0.30)"
7763.jpg,"(0.85, 0.20)"
8882.jpg,"(0.75, 0.80)"
