frame,gaze
908.jpg,"(0.35, 0.60)"
1006.jpg,"(0.52, 0.60)"
1203.jpg,"(0.58, 0.62)"
1264.jpg,"(0.52, 0.60)"
1447.jpg,"(0.52, 0.60)"
1510.jpg,"(0.50, 0.60)"
1665.jpg,"(0.35, 0.60)"
1717.jpg,"(0.52, 0.60)"
2302.jpg,"(0.50, 0.60)"
2357.jpg,"(0.50, 0.45)"
2598.jpg,"(0.50, 0.45)"
2616.jpg,"(0.50, 0.45)"
2834.jpg,"(0.50, 0.60)"
2904.jpg,"(0.52, 0.60)"
3161.jpg,"(0.52, 0.60)"
3203.jpg,"(0.50, 0.60)"
3417.jpg,"(0.75, 0.65)"
3557.jpg,"(0.58, 0.56)"
3590.jpg,"(0.54, 0.52)"
3928.jpg,"(0.56, 0.58)"
4184.jpg,"(0.50, 0.65)"
5041.jpg,"(0.50, 0.60)"
