frame,gaze
223.jpg,"(0.50, 0.65)"
471.jpg,"(0.75, 0.65)"
680.jpg,"(0.50, 0.65)"
720.jpg,"(0.65, 0.60)"
1125.jpg,"(0.65, 0.85)"
1239.jpg,"(0.65, 0.70)"
1646.jpg,"(0.25, 0.60)"
1852.jpg,"(0.65, 0.75)"
1999.jpg,"(0.50, 0.60)"
2275.jpg,"(0.50, 0.60)"
2339.jpg,"(0.50, 0.60)"
2833.jpg,"(0.50, 0.60)"
2857.jpg,"(0.55, 0.65)"
3165.jpg,"(0.65, 0.75)"
3347.jpg,"(0.50, 0.65)"
4134.jpg,"(0.35, 0.78)"
4336.jpg,"(0.45, 0.55)"
4712.jpg,"(0.50, 0.60)"
4791.jpg,"(0.50, 0.60)"
5295.jpg,"(0.45, 0.75)"
6272.jpg,"(0.45, 0.78)"
6614.jpg,"(0.52, 0.74)"
6868.jpg,"(0.52, 0.73)"
6977.jpg,"(0.50, 0.75)"
