frame,gaze
161.jpg,"(0.50, 0.50)"
236.jpg,"(0.45, 0.65)"
298.jpg,"(0.35, 0.48)"
325.jpg,"(0.45, 0.60)"
1166.jpg,"(0.45, 0.65)"
1441.jpg,"(0.35, 0.42)"
2026.jpg,"(0.45, 0.65)"
2157.jpg,"(0.48, 0.65)"
2227.jpg,"(0.35, 0.75)"
2346.jpg,"(0.35, 0.65)"
2623.jpg,"(0.60, 0.70)"
3111.jpg,"(0.35, 0.42)"
3185.jpg,"(0.45, 0.55)"
3411.jpg,"(0.35, 0.60)"
3475.jpg,"(0.55, 0.65)"
3683.jpg,"(0.48, 0.62)"
4206.jpg,"(0.35, 0.75)"
4439.jpg,"(0.55, 0.65)"
4504.jpg,"(0.25, 0.60)"
4605.jpg,"(0.48, 0.52)"
5301.jpg,"(0.35, 0.55)"
5476.jpg,"(0.52, 0.60)"
6028.jpg,"(0.25, 0.75)"
6871.jpg,"(0.58, 0.74)"
7029.jpg,"(0.58, 0.60)"
7321.jpg,"(0.45, 0.65)"
7723.jpg,"(0.35, 0.65)"
7998.jpg,"(0.62, 0.65)"
8076.jpg,"(0.54, 0.52)"
9448.jpg,"(0.65, 0.60)"
10086.jpg,"(0.50, 0.50)"
10312.jpg,"(0.52, 0.48)"
10627.jpg,"(0.58, 0.60)"
10689.jpg,"(0.45, 0.60)"
10794.jpg,"(0.45, 0.60)"
10891.jpg,"(0.45, 0.65)"
11283.jpg,"(0.45, 0.60)"
11357.jpg,"(0.35, 0.55)"
11384.jpg,"(0.35, 0.55)"
11448.jpg,"(0.35, 0.55)"
11713.jpg,"(0.35, 0.65)"
11874.jpg,"(0.75, 0.60)"
12060.jpg,"(0.75, 0.60)"
12432.jpg,"(0.50, 0.45)"
12999.jpg,"(0.75, 0.65)"
13133.jpg,"(0.45, 0.60)"
13472.jpg,"(0.45, 0.60)"
13573.jpg,"(0.45, 0.60)"
13650.jpg,"(0.65, 0.83)"
13833.jpg,"(0.45, 0.50)"
14043.jpg,"(0.35, 0.60)"
14184.jpg,"(0.50, 0.60)"
15031.jpg,"(0.58, 0.54)"
15067.jpg,"(0.58, 0.60)"
15369.jpg,"(0.72, 0.74)"
16012.jpg,"(0.85, 0.45)"
17113.jpg,"(0.45, 0.60)"
18359.jpg,"(0.75, 0.65)"
19097.jpg,"(0.45, 0.65)"
19648.jpg,"(0.45, 0.65)"
19842.jpg,"(0.52, 0.63)"
20348.jpg,"(0.55, 0.45)"
20682.jpg,"(0.52, 0.63)"
20789.jpg,"(0.55, 0.60)"
21609.jpg,"(0.45, 0.65)"
24600.jpg,"(0.65, 0.60)"
24815.jpg,"(0.65, 0.65)"
24936.jpg,"(0.65, 0.65)"
25088.jpg,"(0.52, 0.60)"
25264.jpg,"(0.65, 0.78)"
25390.jpg,"(0.52, 0.54)"
25517.jpg,"(0.65, 0.60)"
25559.jpg,"(0.50, 0.60)"
25638.jpg,"(0.52, 0.54)"
25707.jpg,"(0.75, 0.68)"
25746.jpg,"(0.45, 0.60)"
26370.jpg,"(0.45, 0.65)"
26602.jpg,"(0.45, 0.55)"
26721.jpg,"(0.65, 0.60)"
27294.jpg,"(0.52, 0.68)"
