frame,gaze
1295.jpg,"(0.35, 0.65)"
2164.jpg,"(0.65, 0.58)"
2345.jpg,"(0.65, 0.50)"
2735.jpg,"(0.55, 0.45)"
4649.jpg,"(0.58, 0.64)"
5662.jpg,"(0.58, 0.54)"
5774.jpg,"(0.50, 0.65)"
6297.jpg,"(0.58, 0.62)"
6636.jpg,"(0.45, 0.60)"
6796.jpg,"(0.45, 0.55)"
6831.jpg,"(0.35, 0.45)"
7099.jpg,"(0.35, 0.45)"
7126.jpg,"(0.45, 0.60)"
7473.jpg,"(0.50, 0.60)"
7800.jpg,"(0.35, 0.65)"
7840.jpg,"(0.50, 0.45)"
8453.jpg,"(0.54, 0.60)"
8678.jpg,"(0.58, 0.62)"
8735.jpg,"(0.52, 0.48)"
8880.jpg,"(0.50, 0.60)"
9015.jpg,"(0.55, 0.45)"
9326.jpg,"(0.45, 0.65)"
9906.jpg,"(0.35, 0.70)"
10276.jpg,"(0.50, 0.60)"
10790.jpg,"(0.50, 0.65)"
10856.jpg,"(0.58, 0.67)"
11001.jpg,"(0.50, 0.60)"
