frame,gaze
455.jpg,"(0.52, 0.64)"
689.jpg,"(0.56, 0.64)"
1191.jpg,"(0.52, 0.60)"
2013.jpg,"(0.75, 0.48)"
2157.jpg,"(0.65, 0.45)"
2313.jpg,"(0.75, 0.65)"
2479.jpg,"(0.65, 0.45)"
3585.jpg,"(0.58, 0.52)"
4476.jpg,"(0.50, 0.60)"
4731.jpg,"(0.58, 0.62)"
4963.jpg,"(0.52, 0.60)"
5063.jpg,"(0.58, 0.62)"
5129.jpg,"(0.50, 0.60)"
5353.jpg,"(0.50, 0.70)"
5706.jpg,"(0.58, 0.49)"
5852.jpg,"(0.58, 0.49)"
6101.jpg,"(0.50, 0.60)"
6305.jpg,"(0.50, 0.60)"
6518.jpg,"(0.65, 0.65)"
6681.jpg,"(0.45, 0.60)"
6742.jpg,"(0.62, 0.63)"
6800.jpg,"(0.58, 0.64)"
7065.jpg,"(0.70, 0.70)"
