frame,gaze
713.jpg,"(0.25, 0.30)"
2345.jpg,"(0.45, 0.58)"
2644.jpg,"(0.35, 0.55)"
2922.jpg,"(0.45, 0.35)"
2956.jpg,"(0.45, 0.45)"
3577.jpg,"(0.45, 0.60)"
3790.jpg,"(0.52, 0.48)"
4108.jpg,"(0.52, 0.61)"
4577.jpg,"(0.45, 0.62)"
5253.jpg,"(0.52, 0.60)"
6190.jpg,"(0.35, 0.60)"
6291.jpg,"(0.52, 0.58)"
7579.jpg,"(0.45, 0.55)"
8723.jpg,"(0.45, 0.45)"
9320.jpg,"(0.35, 0.50)"
9791.jpg,"(0.35, 0.45)"
10196.jpg,"(0.45, 0.45)"
10496.jpg,"(0.35, 0.45)"
12370.jpg,"(0.35, 0.45)"
12889.jpg,"(0.45, 0.50)"
13891.jpg,"(0.65, 0.45)"
14247.jpg,"(0.50, 0.40)"
14766.jpg,"(0.55, 0.62)"
16636.jpg,"(0.35, 0.45)"
