frame,gaze
851.jpg,"(0.45, 0.60)"
1087.jpg,"(0.45, 0.65)"
1425.jpg,"(0.35, 0.65)"
2325.jpg,"(0.50, 0.65)"
2384.jpg,"(0.45, 0.65)"
3062.jpg,"(0.45, 0.65)"
3756.jpg,"(0.58, 0.64)"
4504.jpg,"(0.52, 0.63)"
4811.jpg,"(0.45, 0.65)"
5605.jpg,"(0.45, 0.48)"
10200.jpg,"(0.50, 0.60)"
10690.jpg,"(0.50, 0.68)"
11231.jpg,"(0.52, 0.68)"
16198.jpg,"(0.35, 0.75)"
17809.jpg,"(0.52, 0.68)"
18020.jpg,"(0.35, 0.60)"
23638.jpg,"(0.75, 0.65)"
25671.jpg,"(0.48, 0.67)"
28822.jpg,"(0.50, 0.60)"
28950.jpg,"(0.35, 0.68)"
29042.jpg,"(0.52, 0.54)"
29129.jpg,"(0.50, 0.60)"
29286.jpg,"(0.35, 0.68)"
29405.jpg,"(0.45, 0.65)"
29509.jpg,"(0.52, 0.64)"
29617.jpg,"(0.35, 0.75)"
30181.jpg,"(0.45, 0.72)"
30302.jpg,"(0.45, 0.75)"
30467.jpg,"(0.45, 0.75)"
31181.jpg,"(0.45, 0.65)"
32616.jpg,"(0.42, 0.65)"
32927.jpg,"(0.42, 0.78)"
33051.jpg,"(0.52, 0.60)"
34104.jpg,"(0.45, 0.85)"
