frame,gaze
251.jpg,"(0.65, 0.45)"
445.jpg,"(0.35, 0.45)"
1000.jpg,"(0.55, 0.48)"
1226.jpg,"(0.52, 0.48)"
1644.jpg,"(0.58, 0.47)"
1798.jpg,"(0.55, 0.45)"
2421.jpg,"(0.50, 0.60)"
3357.jpg,"(0.65, 0.60)"
3570.jpg,"(0.35, 0.65)"
4057.jpg,"(0.35, 0.45)"
4763.jpg,"(0.45, 0.65)"
4909.jpg,"(0.55, 0.45)"
5687.jpg,"(0.48, 0.56)"
6009.jpg,"(0.52, 0.56)"
6293.jpg,"(0.45, 0.60)"
6337.jpg,"(0.45, 0.48)"
6492.jpg,"(0.45, 0.55)"
6990.jpg,"(0.45, 0.48)"
7255.jpg,"(0.45, 0.45)"
7657.jpg,"(0.45, 0.45)"
7940.jpg,"(0.45, 0.35)"
8352.jpg,"(0.65, 0.48)"
9196.jpg,"(0.48, 0.52)"
9359.jpg,"(0.35, 0.65)"
9927.jpg,"(0.50, 0.45)"
