frame,gaze
350.jpg,"(0.50, 0.60)"
480.jpg,"(0.50, 0.70)"
534.jpg,"(0.50, 0.60)"
718.jpg,"(0.45, 0.75)"
822.jpg,"(0.52, 0.74)"
939.jpg,"(0.58, 0.76)"
1129.jpg,"(0.52, 0.68)"
1433.jpg,"(0.58, 0.64)"
1619.jpg,"(0.45, 0.80)"
2465.jpg,"(0.45, 0.85)"
2533.jpg,"(0.35, 0.65)"
2858.jpg,"(0.50, 0.70)"
3362.jpg,"(0.65, 0.70)"
3878.jpg,"(0.50, 0.50)"
4387.jpg,"(0.50, 0.70)"
5070.jpg,"(0.45, 0.68)"
5352.jpg,"(0.58, 0.45)"
8201.jpg,"(0.45, 0.65)"
8420.jpg,"(0.35, 0.48)"
9856.jpg,"(0.45, 0.60)"
9988.jpg,"(0.45, 0.60)"
10303.jpg,"(0.50, 0.50)"
10602.jpg,"(0.65, 0.70)"
10751.jpg,"(0.45, 0.60)"
12049.jpg,"(0.55, 0.80)"
12593.jpg,"(0.50, 0.60)"
12790.jpg,"(0.65, 0.65)"
13020.jpg,"(0.55, 0.60)"
14147.jpg,"(0.58, 0.69)"
14349.jpg,"(0.58, 0.72)"
14399.jpg,"(0.52, 0.78)"
15309.jpg,"(0.35, 0.65)"
15775.jpg,"(0.35, 0.65)"
16106.jpg,"(0.45, 0.65)"
16783.jpg,"(0.35, 0.65)"
16972.jpg,"(0.50, 0.65)"
17550.jpg,"(0.85, 0.80)"
17695.jpg,"(0.35, 0.65)"
17924.jpg,"(0.35, 0.65)"
18059.jpg,"(0.45, 0.55)"
18616.jpg,"(0.50, 0.70)"
18897.jpg,"(0.45, 0.75)"
19258.jpg,"(0.45, 0.65)"
19576.jpg,"(0.35, 0.60)"
19951.jpg,"(0.35, 0.85)"
20493.jpg,"(0.35, 0.70)"
20926.jpg,"(0.35, 0.60)"
21001.jpg,"(0.50, 0.60)"
21213.jpg,"(0.52, 0.74)"
21290.jpg,"(0.45, 0.85)"
21441.jpg,"(0.35, 0.65)"
21738.jpg,"(0.35, 0.65)"
22067.jpg,"(0.75, 0.78)"
22258.jpg,"(0.45, 0.65)"
23048.jpg,"(0.52, 0.60)"
23334.jpg,"(0.48, 0.65)"
23708.jpg,"(0.60, 0.75)"
23888.jpg,"(0.35, 0.45)"
24861.jpg,"(0.52, 0.74)"
25414.jpg,"(0.45, 0.60)"
25906.jpg,"(0.65, 0.75)"
26446.jpg,"(0.38, 0.65)"
26962.jpg,"(0.58, 0.74)"
28018.jpg,"(0.45, 0.65)"
28245.jpg,"(0.45, 0.75)"
29279.jpg,"(0.45, 0.65)"
29530.jpg,"(0.35, 0.65)"
30599.jpg,"(0.35, 0.65)"
30839.jpg,"(0.45, 0.80)"
31094.jpg,"(0.58, 0.64)"
31392.jpg,"(0.55, 0.68)"
31827.jpg,"(0.35, 0.70)"
32087.jpg,"(0.35, 0.75)"
32489.jpg,"(0.55, 0.75)"
33302.jpg,"(0.75, 0.80)"
33483.jpg,"(0.35, 0.45)"
34063.jpg,"(0.35, 0.65)"
34443.jpg,"(0.35, 0.75)"
34496.jpg,"(0.45, 0.65)"
34810.jpg,"(0.45, 0.65)"
35292.jpg,"(0.15, 0.65)"
35342.jpg,"(0.45, 0.60)"
35577.jpg,"(0.55, 0.70)"
35800.jpg,"(0.45, 0.65)"
36212.jpg,"(0.25, 0.75)"
36381.jpg,"(0.35, 0.65)"
36767.jpg,"(0.45, 0.55)"
37374.jpg,"(0.48, 0.72)"
37420.jpg,"(0.45, 0.65)"
37873.jpg,"(0.35, 0.60)"
38012.jpg,"(0.45, 0.30)"
38304.jpg,"(0.50, 0.45)"
38708.jpg,"(0.25, 0.65)"
38942.jpg,"(0.65, 0.75)"
