frame,gaze
311.jpg,"(0.50, 0.70)"
439.jpg,"(0.35, 0.45)"
648.jpg,"(0.75, 0.68)"
734.jpg,"(0.50, 0.60)"
772.jpg,"(0.65, 0.65)"
1417.jpg,"(0.48, 0.79)"
1513.jpg,"(0.52, 0.63)"
1578.jpg,"(0.52, 0.64)"
1869.jpg,"(0.65, 0.75)"
1925.jpg,"(0.65, 0.72)"
2178.jpg,"(0.45, 0.65)"
2319.jpg,"(0.48, 0.59)"
2366.jpg,"(0.50, 0.50)"
2538.jpg,"(0.45, 0.60)"
2909.jpg,"(0.45, 0.68)"
2982.jpg,"(0.48, 0.67)"
3253.jpg,"(0.45, 0.60)"
3448.jpg,"(0.48, 0.62)"
3563.jpg,"(0.48, 0.56)"
5012.jpg,"(0.45, 0.50)"
5081.jpg,"(0.48, 0.56)"
