frame,gaze
178.jpg,"(0.50, 0.60)"
488.jpg,"(0.65, 0.63)"
6709.jpg,"(0.38, 0.56)"
8585.jpg,"(0.65, 0.72)"
10497.jpg,"(0.65, 0.65)"
11602.jpg,"(0.52, 0.64)"
12077.jpg,"(0.45, 0.65)"
13066.jpg,"(0.52, 0.74)"
13656.jpg,"(0.52, 0.68)"
14757.jpg,"(0.75, 0.65)"
15184.jpg,"(0.75, 0.45)"
15309.jpg,"(0.45, 0.65)"
15708.jpg,"(0.52, 0.60)"
16079.jpg,"(0.52, 0.60)"
16312.jpg,"(0.52, 0.64)"
17922.jpg,"(0.45, 0.55)"
18873.jpg,"(0.52, 0.61)"
19480.jpg,"(0.45, 0.60)"
20812.jpg,"(0.65, 0.60)"
21084.jpg,"(0.45, 0.60)"
21436.jpg,"(0.35, 0.65)"
21586.jpg,"(0.75, 0.55)"
22231.jpg,"(0.45, 0.60)"
22555.jpg,"(0.45, 0.60)"
23324.jpg,"(0.65, 0.70)"
24072.jpg,"(0.35, 0.45)"
24581.jpg,"(0.52, 0.74)"
24680.jpg,"(0.52, 0.68)"
25161.jpg,"(0.62, 0.71)"
25881.jpg,"(0.52, 0.63)"
26058.jpg,"(0.45, 0.60)"
26601.jpg,"(0.54, 0.63)"
26799.jpg,"(0.50, 0.50)"
27057.jpg,"(0.52, 0.76)"
27207.jpg,"(0.50, 0.80)"
