frame,gaze
318.jpg,"(0.25, 0.35)"
455.jpg,"(0.30, 0.69)"
572.jpg,"(0.43, 0.67)"
1191.jpg,"(0.45, 0.72)"
2047.jpg,"(0.50, 0.69)"
2581.jpg,"(0.35, 0.89)"
3188.jpg,"(0.48, 0.65)"
3961.jpg,"(0.50, 0.67)"
4465.jpg,"(0.54, 0.69)"
4580.jpg,"(0.50, 0.60)"
7501.jpg,"(0.50, 0.65)"
10302.jpg,"(0.45, 0.60)"
10514.jpg,"(0.45, 0.70)"
10582.jpg,"(0.75, 0.75)"
10978.jpg,"(0.58, 0.74)"
13420.jpg,"(0.35, 0.65)"
13816.jpg,"(0.52, 0.68)"
18000.jpg,"(0.40, 0.78)"
18638.jpg,"(0.35, 0.65)"
18836.jpg,"(0.52, 0.68)"
20008.jpg,"(0.45, 0.65)"
24547.jpg,"(0.65, 0.65)"
24716.jpg,"(0.45, 0.65)"
30282.jpg,"(0.50, 0.45)"
