frame,gaze
494.jpg,"(0.50, 0.60)"
717.jpg,"(0.75, 0.68)"
802.jpg,"(0.52, 0.68)"
895.jpg,"(0.45, 0.60)"
1176.jpg,"(0.52, 0.64)"
1267.jpg,"(0.48, 0.56)"
1326.jpg,"(0.52, 0.64)"
1652.jpg,"(0.45, 0.65)"
1682.jpg,"(0.35, 0.65)"
3260.jpg,"(0.50, 0.60)"
3579.jpg,"(0.50, 0.60)"
3713.jpg,"(0.45, 0.65)"
4886.jpg,"(0.52, 0.64)"
5036.jpg,"(0.52, 0.68)"
6135.jpg,"(0.52, 0.65)"
6307.jpg,"(0.45, 0.65)"
6421.jpg,"(0.45, 0.75)"
6538.jpg,"(0.50, 0.65)"
6579.jpg,"(0.45, 0.65)"
6635.jpg,"(0.58, 0.62)"
6675.jpg,"(0.65, 0.68)"
6764.jpg,"(0.52, 0.64)"
7165.jpg,"(0.50, 0.60)"
7300.jpg,"(0.50, 0.60)"
7518.jpg,"(0.45, 0.65)"
7755.jpg,"(0.35, 0.65)"
7803.jpg,"(0.50, 0.60)"
8249.jpg,"(0.50, 0.60)"
8741.jpg,"(0.52, 0.64)"
8968.jpg,"(0.52, 0.74)"
10031.jpg,"(0.35, 0.85)"
10504.jpg,"(0.45, 0.65)"
10636.jpg,"(0.50, 0.60)"
10752.jpg,"(0.35, 0.70)"
10917.jpg,"(0.52, 0.65)"
11020.jpg,"(0.45, 0.65)"
11153.jpg,"(0.45, 0.65)"
11487.jpg,"(0.45, 0.75)"
11600.jpg,"(0.45, 0.50)"
11896.jpg,"(0.58, 0.74)"
12136.jpg,"(0.45, 0.70)"
12201.jpg,"(0.50, 0.50)"
12466.jpg,"(0.45, 0.65)"
12680.jpg,"(0.58, 0.64)"
12889.jpg,"(0.45, 0.70)"
13089.jpg,"(0.35, 0.60)"
13301.jpg,"(0.65, 0.70)"
13721.jpg,"(0.50, 0.55)"
13760.jpg,"(0.50, 0.60)"
14112.jpg,"(0.56, 0.72)"
14136.jpg,"(0.54, 0.67)"
14506.jpg,"(0.45, 0.60)"
15110.jpg,"(0.58, 0.67)"
15257.jpg,"(0.52, 0.74)"
15430.jpg,"(0.45, 0.55)"
15901.jpg,"(0.65, 0.70)"
15972.jpg,"(0.42, 0.65)"
16044.jpg,"(0.50, 0.60)"
16117.jpg,"(0.45, 0.60)"
16229.jpg,"(0.48, 0.56)"
16319.jpg,"(0.52, 0.58)"
17066.jpg,"(0.58, 0.64)"
17318.jpg,"(0.35, 0.45)"
17354.jpg,"(0.50, 0.45)"
17633.jpg,"(0.48, 0.59)"
18753.jpg,"(0.58, 0.64)"
18911.jpg,"(0.52, 0.65)"
19115.jpg,"(0.75, 0.75)"
19264.jpg,"(0.48, 0.65)"
19787.jpg,"(0.35, 0.65)"
19936.jpg,"(0.52, 0.68)"
20099.jpg,"(0.35, 0.75)"
20155.jpg,"(0.35, 0.60)"
20957.jpg,"(0.42, 0.65)"
21224.jpg,"(0.50, 0.60)"
21306.jpg,"(0.52, 0.64)"
21345.jpg,"(0.65, 0.58)"
24441.jpg,"(0.65, 0.70)"
24819.jpg,"(0.42, 0.68)"
24889.jpg,"(0.45, 0.60)"
25155.jpg,"(0.35, 0.75)"
25470.jpg,"(0.45, 0.65)"
25571.jpg,"(0.45, 0.65)"
25846.jpg,"(0.48, 0.62)"
25903.jpg,"(0.45, 0.75)"
