frame,gaze
242.jpg,"(0.45, 0.65)"
968.jpg,"(0.75, 0.65)"
1288.jpg,"(0.50, 0.50)"
1430.jpg,"(0.25, 0.35)"
1637.jpg,"(0.54, 0.73)"
1694.jpg,"(0.58, 0.74)"
1947.jpg,"(0.35, 0.65)"
2050.jpg,"(0.52, 0.60)"
2164.jpg,"(0.35, 0.60)"
2296.jpg,"(0.65, 0.65)"
2526.jpg,"(0.50, 0.60)"
2623.jpg,"(0.75, 0.65)"
3123.jpg,"(0.54, 0.68)"
3243.jpg,"(0.90, 0.45)"
3733.jpg,"(0.58, 0.69)"
3784.jpg,"(0.58, 0.67)"
4151.jpg,"(0.75, 0.75)"
4388.jpg,"(0.45, 0.60)"
4746.jpg,"(0.58, 0.64)"
4899.jpg,"(0.35, 0.75)"
5625.jpg,"(0.35, 0.45)"
5693.jpg,"(0.45, 0.58)"
6462.jpg,"(0.35, 0.60)"
6571.jpg,"(0.50, 0.60)"
7024.jpg,"(0.35, 0.45)"
7141.jpg,"(0.85, 0.60)"
7345.jpg,"(0.45, 0.55)"
7659.jpg,"(0.35, 0.65)"
8666.jpg,"(0.65, 0.65)"
9199.jpg,"(0.45, 0.65)"
9374.jpg,"(0.45, 0.65)"
10519.jpg,"(0.35, 0.68)"
11055.jpg,"(0.52, 0.64)"
12791.jpg,"(0.35, 0.65)"
12934.jpg,"(0.35, 0.60)"
13556.jpg,"(0.35, 0.65)"
13790.jpg,"(0.35, 0.62)"
16032.jpg,"(0.42, 0.65)"
16192.jpg,"(0.40, 0.65)"
