frame,gaze
123.jpg,"(0.50, 0.50)"
249.jpg,"(0.50, 0.60)"
301.jpg,"(0.50, 0.45)"
363.jpg,"(0.35, 0.65)"
872.jpg,"(0.56, 0.62)"
1053.jpg,"(0.52, 0.60)"
1271.jpg,"(0.50, 0.45)"
2151.jpg,"(0.45, 0.50)"
2404.jpg,"(0.45, 0.78)"
2746.jpg,"(0.52, 0.68)"
2928.jpg,"(0.45, 0.60)"
3416.jpg,"(0.52, 0.60)"
3493.jpg,"(0.45, 0.60)"
3956.jpg,"(0.45, 0.63)"
4121.jpg,"(0.45, 0.60)"
4355.jpg,"(0.45, 0.60)"
4877.jpg,"(0.58, 0.42)"
4991.jpg,"(0.52, 0.64)"
5485.jpg,"(0.52, 0.63)"
5988.jpg,"(0.50, 0.50)"
7513.jpg,"(0.35, 0.65)"
7791.jpg,"(0.35, 0.65)"
8435.jpg,"(0.45, 0.65)"
8614.jpg,"(0.50, 0.45)"
9160.jpg,"(0.45, 0.65)"
9425.jpg,"(0.35, 0.65)"
9545.jpg,"(0.35, 0.65)"
9669.jpg,"(0.35, 0.45)"
9815.jpg,"(0.45, 0.65)"
9970.jpg,"(0.50, 0.60)"
10373.jpg,"(0.35, 0.60)"
10638.jpg,"(0.52, 0.56)"
10784.jpg,"(0.35, 0.55)"
11004.jpg,"(0.65, 0.70)"
12065.jpg,"(0.45, 0.65)"
12115.jpg,"(0.52, 0.76)"
12250.jpg,"(0.45, 0.60)"
12729.jpg,"(0.52, 0.60)"
12946.jpg,"(0.52, 0.60)"
13098.jpg,"(0.45, 0.48)"
13653.jpg,"(0.45, 0.55)"
13682.jpg,"(0.45, 0.60)"
13719.jpg,"(0.35, 0.60)"
14009.jpg,"(0.45, 0.35)"
14069.jpg,"(0.50, 0.45)"
14279.jpg,"(0.50, 0.45)"
14516.jpg,"(0.50, 0.45)"
14788.jpg,"(0.35, 0.60)"
14904.jpg,"(0.45, 0.65)"
15089.jpg,"(0.45, 0.60)"
15183.jpg,"(0.35, 0.65)"
15293.jpg,"(0.65, 0.65)"
15428.jpg,"(0.55, 0.50)"
15626.jpg,"(0.35, 0.65)"
15778.jpg,"(0.25, 0.65)"
15936.jpg,"(0.50, 0.50)"
16091.jpg,"(0.50, 0.60)"
16432.jpg,"(0.48, 0.62)"
16767.jpg,"(0.50, 0.50)"
17061.jpg,"(0.52, 0.78)"
