frame,gaze
418.jpg,"(0.65, 0.65)"
1215.jpg,"(0.48, 0.42)"
1282.jpg,"(0.45, 0.78)"
2007.jpg,"(0.45, 0.65)"
2663.jpg,"(0.52, 0.60)"
3007.jpg,"(0.48, 0.65)"
3037.jpg,"(0.52, 0.60)"
3207.jpg,"(0.52, 0.68)"
3577.jpg,"(0.52, 0.74)"
3637.jpg,"(0.65, 0.48)"
3810.jpg,"(0.45, 0.65)"
4164.jpg,"(0.80, 0.55)"
4315.jpg,"(0.52, 0.76)"
5253.jpg,"(0.50, 0.60)"
5519.jpg,"(0.45, 0.65)"
5666.jpg,"(0.52, 0.64)"
6165.jpg,"(0.52, 0.74)"
6201.jpg,"(0.60, 0.45)"
6320.jpg,"(0.52, 0.64)"
6630.jpg,"(0.50, 0.60)"
6725.jpg,"(0.65, 0.75)"
6791.jpg,"(0.52, 0.68)"
7096.jpg,"(0.52, 0.68)"
8918.jpg,"(0.52, 0.63)"
8991.jpg,"(0.56, 0.64)"
9478.jpg,"(0.52, 0.64)"
9665.jpg,"(0.45, 0.60)"
10192.jpg,"(0.56, 0.64)"
10500.jpg,"(0.58, 0.64)"
11564.jpg,"(0.45, 0.60)"
12733.jpg,"(0.58, 0.67)"
12898.jpg,"(0.25, 0.70)"
13025.jpg,"(0.45, 0.65)"
13105.jpg,"(0.50, 0.50)"
13170.jpg,"(0.58, 0.64)"
13464.jpg,"(0.45, 0.65)"
13705.jpg,"(0.35, 0.80)"
13850.jpg,"(0.45, 0.50)"
14720.jpg,"(0.58, 0.63)"
15009.jpg,"(0.45, 0.65)"
15243.jpg,"(0.58, 0.49)"
15295.jpg,"(0.35, 0.65)"
15590.jpg,"(0.52, 0.71)"
15731.jpg,"(0.65, 0.70)"
16013.jpg,"(0.58, 0.72)"
17904.jpg,"(0.45, 0.70)"
18037.jpg,"(0.48, 0.79)"
18252.jpg,"(0.60, 0.70)"
18840.jpg,"(0.52, 0.68)"
19264.jpg,"(0.45, 0.75)"
20077.jpg,"(0.35, 0.85)"
20417.jpg,"(0.45, 0.75)"
20456.jpg,"(0.52, 0.64)"
20495.jpg,"(0.45, 0.62)"
20565.jpg,"(0.45, 0.65)"
20631.jpg,"(0.50, 0.65)"
20663.jpg,"(0.52, 0.64)"
20748.jpg,"(0.54, 0.68)"
20824.jpg,"(0.52, 0.56)"
21227.jpg,"(0.50, 0.60)"
23040.jpg,"(0.52, 0.71)"
24264.jpg,"(0.52, 0.71)"
24335.jpg,"(0.52, 0.71)"
24492.jpg,"(0.45, 0.72)"
24664.jpg,"(0.45, 0.85)"
25112.jpg,"(0.75, 0.78)"
25765.jpg,"(0.35, 0.75)"
25977.jpg,"(0.45, 0.65)"
26086.jpg,"(0.58, 0.60)"
26191.jpg,"(0.52, 0.78)"
28649.jpg,"(0.45, 0.60)"
29254.jpg,"(0.54, 0.72)"
29339.jpg,"(0.35, 0.65)"
29528.jpg,"(0.45, 0.68)"
29623.jpg,"(0.45, 0.68)"
29671.jpg,"(0.52, 0.71)"
30190.jpg,"(0.58, 0.72)"
32243.jpg,"(0.52, 0.65)"
32574.jpg,"(0.52, 0.68)"
33145.jpg,"(0.52, 0.68)"
33411.jpg,"(0.48, 0.65)"
33484.jpg,"(0.65, 0.85)"
33613.jpg,"(0.50, 0.70)"
35648.jpg,"(0.52, 0.68)"
36104.jpg,"(0.52, 0.78)"
36182.jpg,"(0.45, 0.65)"
36335.jpg,"(0.45, 0.65)"
36380.jpg,"(0.35, 0.70)"
36452.jpg,"(0.45, 0.65)"
37318.jpg,"(0.48, 0.65)"
37707.jpg,"(0.52, 0.68)"
38103.jpg,"(0.52, 0.71)"
38235.jpg,"(0.45, 0.75)"
38403.jpg,"(0.35, 0.75)"
38508.jpg,"(0.35, 0.72)"
39280.jpg,"(0.35, 0.78)"
39315.jpg,"(0.48, 0.72)"
39465.jpg,"(0.65, 0.70)"
39750.jpg,"(0.45, 0.78)"
40044.jpg,"(0.58, 0.60)"
40185.jpg,"(0.52, 0.64)"
40623.jpg,"(0.52, 0.78)"
40796.jpg,"(0.65, 0.45)"
41479.jpg,"(0.52, 0.76)"
