frame,gaze
473.jpg,"(0.50, 0.50)"
684.jpg,"(0.35, 0.65)"
937.jpg,"(0.35, 0.65)"
1194.jpg,"(0.52, 0.74)"
1475.jpg,"(0.35, 0.65)"
1705.jpg,"(0.35, 0.65)"
1967.jpg,"(0.35, 0.65)"
2844.jpg,"(0.45, 0.60)"
3242.jpg,"(0.50, 0.60)"
4880.jpg,"(0.52, 0.60)"
5032.jpg,"(0.45, 0.65)"
5376.jpg,"(0.35, 0.65)"
6461.jpg,"(0.45, 0.65)"
7052.jpg,"(0.50, 0.45)"
7155.jpg,"(0.56, 0.74)"
8385.jpg,"(0.50, 0.60)"
9571.jpg,"(0.45, 0.65)"
9903.jpg,"(0.52, 0.68)"
10587.jpg,"(0.65, 0.70)"
11010.jpg,"(0.58, 0.54)"
11189.jpg,"(0.52, 0.56)"
11917.jpg,"(0.50, 0.60)"
12062.jpg,"(0.65, 0.65)"
13060.jpg,"(0.65, 0.68)"
14135.jpg,"(0.55, 0.62)"
15003.jpg,"(0.75, 0.75)"
16098.jpg,"(0.48, 0.72)"
16524.jpg,"(0.52, 0.60)"
18031.jpg,"(0.25, 0.75)"
18114.jpg,"(0.45, 0.65)"
18636.jpg,"(0.52, 0.68)"
26421.jpg,"(0.58, 0.67)"
27621.jpg,"(0.50, 0.70)"
