frame,gaze
124.jpg,"(0.52, 0.68)"
473.jpg,"(0.35, 0.65)"
731.jpg,"(0.40, 0.55)"
835.jpg,"(0.48, 0.65)"
1371.jpg,"(0.54, 0.68)"
2036.jpg,"(0.65, 0.70)"
2355.jpg,"(0.75, 0.60)"
2667.jpg,"(0.50, 0.60)"
2856.jpg,"(0.50, 0.45)"
3199.jpg,"(0.42, 0.68)"
4434.jpg,"(0.45, 0.55)"
4923.jpg,"(0.48, 0.65)"
5515.jpg,"(0.50, 0.50)"
5639.jpg,"(0.60, 0.85)"
5747.jpg,"(0.75, 0.60)"
6371.jpg,"(0.52, 0.65)"
6479.jpg,"(0.65, 0.55)"
7186.jpg,"(0.48, 0.65)"
7526.jpg,"(0.49, 0.65)"
8036.jpg,"(0.35, 0.65)"
8406.jpg,"(0.50, 0.70)"
8973.jpg,"(0.45, 0.55)"
9818.jpg,"(0.45, 0.65)"
10082.jpg,"(0.48, 0.65)"
10775.jpg,"(0.50, 0.50)"
11043.jpg,"(0.50, 0.60)"
11330.jpg,"(0.45, 0.68)"
12490.jpg,"(0.45, 0.65)"
13003.jpg,"(0.52, 0.64)"
13125.jpg,"(0.45, 0.65)"
13587.jpg,"(0.58, 0.60)"
14661.jpg,"(0.75, 0.58)"
15098.jpg,"(0.35, 0.60)"
15379.jpg,"(0.45, 0.65)"
15937.jpg,"(0.45, 0.65)"
16011.jpg,"(0.58, 0.74)"
16943.jpg,"(0.45, 0.55)"
17280.jpg,"(0.40, 0.60)"
17621.jpg,"(0.45, 0.60)"
18237.jpg,"(0.52, 0.64)"
18460.jpg,"(0.48, 0.72)"
18739.jpg,"(0.45, 0.72)"
18974.jpg,"(0.56, 0.67)"
