frame,gaze
293.jpg,"(0.45, 0.50)"
707.jpg,"(0.35, 0.65)"
786.jpg,"(0.35, 0.55)"
1561.jpg,"(0.65, 0.75)"
2024.jpg,"(0.65, 0.60)"
3863.jpg,"(0.35, 0.65)"
4216.jpg,"(0.60, 0.75)"
6410.jpg,"(0.65, 0.48)"
6714.jpg,"(0.45, 0.60)"
7611.jpg,"(0.45, 0.60)"
7987.jpg,"(0.58, 0.72)"
8335.jpg,"(0.50, 0.45)"
8801.jpg,"(0.50, 0.50)"
8972.jpg,"(0.35, 0.65)"
9237.jpg,"(0.65, 0.58)"
9630.jpg,"(0.45, 0.50)"
10243.jpg,"(0.65, 0.72)"
10908.jpg,"(0.52, 0.71)"
11614.jpg,"(0.35, 0.65)"
12270.jpg,"(0.50, 0.45)"
12950.jpg,"(0.65, 0.65)"
14205.jpg,"(0.50, 0.80)"
15139.jpg,"(0.48, 0.69)"
15348.jpg,"(0.52, 0.48)"
