frame,gaze
425.jpg,"(0.58, 0.64)"
1165.jpg,"(0.50, 0.60)"
1477.jpg,"(0.45, 0.60)"
1718.jpg,"(0.45, 0.65)"
2169.jpg,"(0.50, 0.60)"
2309.jpg,"(0.45, 0.60)"
2665.jpg,"(0.45, 0.60)"
2787.jpg,"(0.65, 0.60)"
3213.jpg,"(0.45, 0.52)"
5026.jpg,"(0.55, 0.65)"
5210.jpg,"(0.58, 0.62)"
5530.jpg,"(0.52, 0.60)"
5627.jpg,"(0.52, 0.60)"
5956.jpg,"(0.58, 0.62)"
6527.jpg,"(0.45, 0.60)"
6605.jpg,"(0.50, 0.60)"
6969.jpg,"(0.50, 0.50)"
6983.jpg,"(0.52, 0.60)"
7118.jpg,"(0.52, 0.48)"
8524.jpg,"(0.50, 0.60)"
8639.jpg,"(0.50, 0.60)"
8697.jpg,"(0.52, 0.67)"
8852.jpg,"(0.65, 0.70)"
8913.jpg,"(0.15, 0.65)"
9414.jpg,"(0.55, 0.65)"
9608.jpg,"(0.58, 0.62)"
9982.jpg,"(0.50, 0.60)"
10077.jpg,"(0.35, 0.58)"
10463.jpg,"(0.50, 0.60)"
10879.jpg,"(0.52, 0.60)"
13220.jpg,"(0.50, 0.60)"
