frame,gaze
281.jpg,"(0.35, 0.45)"
365.jpg,"(0.55, 0.60)"
468.jpg,"(0.75, 0.68)"
680.jpg,"(0.50, 0.60)"
1222.jpg,"(0.50, 0.50)"
1376.jpg,"(0.58, 0.62)"
1638.jpg,"(0.45, 0.72)"
2022.jpg,"(0.65, 0.72)"
2211.jpg,"(0.75, 0.70)"
2530.jpg,"(0.50, 0.50)"
2698.jpg,"(0.50, 0.60)"
2836.jpg,"(0.50, 0.80)"
4275.jpg,"(0.52, 0.64)"
4296.jpg,"(0.52, 0.64)"
4519.jpg,"(0.52, 0.64)"
4673.jpg,"(0.54, 0.63)"
5101.jpg,"(0.45, 0.92)"
5392.jpg,"(0.35, 0.65)"
5634.jpg,"(0.54, 0.68)"
5841.jpg,"(0.48, 0.82)"
5937.jpg,"(0.50, 0.50)"
6192.jpg,"(0.50, 0.45)"
6274.jpg,"(0.50, 0.40)"
7224.jpg,"(0.52, 0.68)"
8169.jpg,"(0.54, 0.63)"
8323.jpg,"(0.56, 0.62)"
8574.jpg,"(0.52, 0.64)"
8931.jpg,"(0.65, 0.65)"
9032.jpg,"(0.52, 0.64)"
10107.jpg,"(0.58, 0.65)"
10411.jpg,"(0.45, 0.65)"
10837.jpg,"(0.52, 0.63)"
11001.jpg,"(0.45, 0.65)"
11078.jpg,"(0.58, 0.72)"
11488.jpg,"(0.58, 0.62)"
11577.jpg,"(0.58, 0.67)"
11955.jpg,"(0.32, 0.71)"
12291.jpg,"(0.52, 0.65)"
12395.jpg,"(0.52, 0.65)"
12494.jpg,"(0.58, 0.67)"
13405.jpg,"(0.65, 0.65)"
13496.jpg,"(0.45, 0.75)"
13784.jpg,"(0.50, 0.50)"
13865.jpg,"(0.35, 0.45)"
14383.jpg,"(0.35, 0.75)"
14801.jpg,"(0.35, 0.75)"
15909.jpg,"(0.45, 0.65)"
16725.jpg,"(0.45, 0.65)"
19287.jpg,"(0.52, 0.63)"
19762.jpg,"(0.52, 0.68)"
20976.jpg,"(0.65, 0.70)"
21194.jpg,"(0.32, 0.65)"
29908.jpg,"(0.50, 0.65)"
30339.jpg,"(0.58, 0.84)"
30481.jpg,"(0.45, 0.75)"
30574.jpg,"(0.50, 0.65)"
30662.jpg,"(0.50, 0.65)"
31422.jpg,"(0.58, 0.69)"
32287.jpg,"(0.45, 0.65)"
