frame,gaze
488.jpg,"(0.45, 0.60)"
667.jpg,"(0.65, 0.65)"
833.jpg,"(0.52, 0.63)"
1065.jpg,"(0.50, 0.65)"
1127.jpg,"(0.50, 0.45)"
1228.jpg,"(0.50, 0.45)"
1249.jpg,"(0.50, 0.60)"
1439.jpg,"(0.50, 0.50)"
1594.jpg,"(0.50, 0.65)"
1721.jpg,"(0.58, 0.64)"
1922.jpg,"(0.65, 0.60)"
1990.jpg,"(0.50, 0.50)"
2213.jpg,"(0.48, 0.63)"
2251.jpg,"(0.48, 0.65)"
2562.jpg,"(0.56, 0.54)"
2646.jpg,"(0.52, 0.64)"
2988.jpg,"(0.58, 0.49)"
4076.jpg,"(0.54, 0.63)"
4255.jpg,"(0.50, 0.70)"
4438.jpg,"(0.50, 0.45)"
