frame,gaze
421.jpg,"(0.45, 0.65)"
810.jpg,"(0.30, 0.55)"
976.jpg,"(0.45, 0.55)"
1099.jpg,"(0.45, 0.60)"
1657.jpg,"(0.58, 0.49)"
1927.jpg,"(0.50, 0.60)"
2077.jpg,"(0.15, 0.45)"
2194.jpg,"(0.35, 0.55)"
2318.jpg,"(0.58, 0.62)"
2843.jpg,"(0.54, 0.62)"
2915.jpg,"(0.45, 0.65)"
3074.jpg,"(0.58, 0.62)"
3229.jpg,"(0.75, 0.75)"
3291.jpg,"(0.58, 0.49)"
4664.jpg,"(0.48, 0.56)"
4932.jpg,"(0.75, 0.65)"
5368.jpg,"(0.48, 0.63)"
5412.jpg,"(0.45, 0.65)"
5842.jpg,"(0.50, 0.60)"
5982.jpg,"(0.45, 0.60)"
6213.jpg,"(0.35, 0.65)"
6416.jpg,"(0.65, 0.70)"
6500.jpg,"(0.45, 0.55)"
6689.jpg,"(0.35, 0.55)"
8051.jpg,"(0.45, 0.55)"
8179.jpg,"(0.45, 0.65)"
10373.jpg,"(0.45, 0.65)"
10607.jpg,"(0.75, 0.65)"
10871.jpg,"(0.52, 0.60)"
11109.jpg,"(0.35, 0.65)"
11375.jpg,"(0.35, 0.42)"
11916.jpg,"(0.35, 0.45)"
12109.jpg,"(0.52, 0.65)"
13353.jpg,"(0.56, 0.58)"
13633.jpg,"(0.45, 0.60)"
13686.jpg,"(0.45, 0.60)"
13843.jpg,"(0.50, 0.60)"
13966.jpg,"(0.58, 0.62)"
14187.jpg,"(0.52, 0.38)"
14430.jpg,"(0.35, 0.65)"
14948.jpg,"(0.65, 0.62)"
15729.jpg,"(0.25, 0.60)"
15957.jpg,"(0.35, 0.65)"
16167.jpg,"(0.35, 0.65)"
18708.jpg,"(0.35, 0.45)"
18911.jpg,"(0.50, 0.50)"
22046.jpg,"(0.56, 0.48)"
22265.jpg,"(0.55, 0.60)"
22380.jpg,"(0.45, 0.65)"
22465.jpg,"(0.35, 0.60)"
23453.jpg,"(0.52, 0.63)"
23653.jpg,"(0.52, 0.60)"
23737.jpg,"(0.52, 0.58)"
23920.jpg,"(0.52, 0.58)"
24465.jpg,"(0.35, 0.42)"
24668.jpg,"(0.58, 0.65)"
24732.jpg,"(0.35, 0.60)"
25094.jpg,"(0.52, 0.63)"
25401.jpg,"(0.35, 0.45)"
25658.jpg,"(0.65, 0.45)"
26673.jpg,"(0.52, 0.63)"
26809.jpg,"(0.45, 0.60)"
27040.jpg,"(0.65, 0.45)"
27772.jpg,"(0.45, 0.55)"
28408.jpg,"(0.52, 0.48)"
28696.jpg,"(0.65, 0.45)"
28988.jpg,"(0.35, 0.42)"
29136.jpg,"(0.58, 0.62)"
29728.jpg,"(0.45, 0.55)"
29843.jpg,"(0.50, 0.60)"
30086.jpg,"(0.45, 0.60)"
30475.jpg,"(0.65, 0.65)"
30623.jpg,"(0.90, 0.50)"
31096.jpg,"(0.50, 0.48)"
31243.jpg,"(0.65, 0.65)"
31516.jpg,"(0.35, 0.28)"
31834.jpg,"(0.65, 0.45)"
32192.jpg,"(0.52, 0.43)"
32597.jpg,"(0.58, 0.62)"
32824.jpg,"(0.50, 0.50)"
