frame,gaze
183.jpg,"(0.62, 0.78)"
355.jpg,"(0.45, 0.75)"
438.jpg,"(0.52, 0.78)"
490.jpg,"(0.45, 0.60)"
653.jpg,"(0.50, 0.50)"
1054.jpg,"(0.52, 0.70)"
1436.jpg,"(0.65, 0.60)"
1488.jpg,"(0.58, 0.64)"
2382.jpg,"(0.65, 0.65)"
2847.jpg,"(0.54, 0.72)"
3144.jpg,"(0.65, 0.70)"
3416.jpg,"(0.65, 0.78)"
3503.jpg,"(0.50, 0.50)"
3651.jpg,"(0.50, 0.50)"
3668.jpg,"(0.50, 0.60)"
3962.jpg,"(0.50, 0.60)"
4081.jpg,"(0.65, 0.75)"
4782.jpg,"(0.50, 0.75)"
4895.jpg,"(0.58, 0.79)"
5057.jpg,"(0.58, 0.67)"
5131.jpg,"(0.45, 0.65)"
5570.jpg,"(0.58, 0.76)"
6197.jpg,"(0.45, 0.72)"
6578.jpg,"(0.35, 0.45)"
6787.jpg,"(0.58, 0.79)"
6856.jpg,"(0.65, 0.47)"
