frame,gaze
388.jpg,"(0.45, 0.65)"
983.jpg,"(0.60, 0.65)"
1890.jpg,"(0.55, 0.65)"
2385.jpg,"(0.55, 0.65)"
3685.jpg,"(0.45, 0.65)"
3802.jpg,"(0.50, 0.70)"
4141.jpg,"(0.45, 0.68)"
4169.jpg,"(0.45, 0.65)"
4278.jpg,"(0.35, 0.65)"
4560.jpg,"(0.50, 0.60)"
5288.jpg,"(0.35, 0.45)"
5810.jpg,"(0.50, 0.60)"
5873.jpg,"(0.65, 0.65)"
5947.jpg,"(0.58, 0.62)"
6009.jpg,"(0.55, 0.60)"
7015.jpg,"(0.58, 0.76)"
7068.jpg,"(0.58, 0.69)"
7596.jpg,"(0.65, 0.48)"
7697.jpg,"(0.65, 0.60)"
7990.jpg,"(0.58, 0.72)"
8106.jpg,"(0.50, 0.60)"
8505.jpg,"(0.52, 0.61)"
8848.jpg,"(0.50, 0.60)"
8906.jpg,"(0.45, 0.75)"
8983.jpg,"(0.50, 0.50)"
9173.jpg,"(0.50, 0.75)"
