frame,gaze
136.jpg,"(0.52, 0.58)"
403.jpg,"(0.50, 0.65)"
444.jpg,"(0.50, 0.60)"
622.jpg,"(0.50, 0.70)"
682.jpg,"(0.50, 0.65)"
802.jpg,"(0.45, 0.65)"
1125.jpg,"(0.65, 0.70)"
1169.jpg,"(0.50, 0.60)"
1318.jpg,"(0.50, 0.65)"
1359.jpg,"(0.50, 0.60)"
1475.jpg,"(0.50, 0.60)"
1563.jpg,"(0.58, 0.67)"
1691.jpg,"(0.85, 0.65)"
1765.jpg,"(0.50, 0.60)"
1898.jpg,"(0.50, 0.60)"
2198.jpg,"(0.60, 0.65)"
2518.jpg,"(0.45, 0.65)"
2875.jpg,"(0.50, 0.60)"
3012.jpg,"(0.50, 0.60)"
3521.jpg,"(0.50, 0.65)"
3580.jpg,"(0.52, 0.68)"
3908.jpg,"(0.42, 0.63)"
4025.jpg,"(0.60, 0.58)"
4162.jpg,"(0.50, 0.60)"
4299.jpg,"(0.58, 0.74)"
4329.jpg,"(0.58, 0.69)"
4831.jpg,"(0.50, 0.60)"
