frame,gaze
730.jpg,"(0.50, 0.45)"
1147.jpg,"(0.58, 0.86)"
1383.jpg,"(0.45, 0.65)"
1479.jpg,"(0.35, 0.75)"
1900.jpg,"(0.65, 0.78)"
2043.jpg,"(0.65, 0.75)"
2188.jpg,"(0.54, 0.81)"
2592.jpg,"(0.50, 0.75)"
2776.jpg,"(0.45, 0.75)"
2841.jpg,"(0.52, 0.68)"
3607.jpg,"(0.48, 0.75)"
3722.jpg,"(0.65, 0.70)"
3762.jpg,"(0.50, 0.45)"
3836.jpg,"(0.50, 0.45)"
4733.jpg,"(0.65, 0.70)"
4814.jpg,"(0.50, 0.50)"
5109.jpg,"(0.45, 0.80)"
5701.jpg,"(0.52, 0.68)"
6439.jpg,"(0.35, 0.65)"
6659.jpg,"(0.65, 0.70)"
6732.jpg,"(0.58, 0.62)"
6765.jpg,"(0.58, 0.64)"
7029.jpg,"(0.54, 0.63)"
7523.jpg,"(0.58, 0.76)"
7586.jpg,"(0.50, 0.60)"
7699.jpg,"(0.45, 0.75)"
