frame,gaze
93.jpg,"(0.65, 0.70)"
373.jpg,"(0.58, 0.62)"
854.jpg,"(0.45, 0.70)"
1142.jpg,"(0.50, 0.48)"
1334.jpg,"(0.50, 0.60)"
1737.jpg,"(0.58, 0.67)"
2139.jpg,"(0.52, 0.65)"
2263.jpg,"(0.45, 0.60)"
2453.jpg,"(0.52, 0.65)"
2591.jpg,"(0.50, 0.70)"
3108.jpg,"(0.50, 0.60)"
3978.jpg,"(0.50, 0.60)"
4009.jpg,"(0.65, 0.70)"
4112.jpg,"(0.58, 0.64)"
4897.jpg,"(0.52, 0.61)"
4986.jpg,"(0.55, 0.48)"
5169.jpg,"(0.60, 0.55)"
5908.jpg,"(0.50, 0.60)"
6284.jpg,"(0.50, 0.45)"
7039.jpg,"(0.50, 0.60)"
7439.jpg,"(0.52, 0.74)"
7998.jpg,"(0.50, 0.70)"
8625.jpg,"(0.50, 0.60)"
8770.jpg,"(0.50, 0.60)"
