frame,gaze
210.jpg,"(0.25, 0.65)"
300.jpg,"(0.35, 0.45)"
700.jpg,"(0.75, 0.68)"
1282.jpg,"(0.50, 0.60)"
1439.jpg,"(0.85, 0.75)"
1585.jpg,"(0.45, 0.35)"
1685.jpg,"(0.35, 0.75)"
2039.jpg,"(0.65, 0.75)"
2256.jpg,"(0.35, 0.65)"
2625.jpg,"(0.50, 0.50)"
3491.jpg,"(0.45, 0.65)"
3693.jpg,"(0.50, 0.60)"
3912.jpg,"(0.65, 0.75)"
4050.jpg,"(0.50, 0.60)"
4132.jpg,"(0.52, 0.61)"
4522.jpg,"(0.45, 0.75)"
4580.jpg,"(0.45, 0.65)"
5029.jpg,"(0.52, 0.72)"
5310.jpg,"(0.45, 0.75)"
5439.jpg,"(0.65, 0.60)"
5527.jpg,"(0.52, 0.67)"
5742.jpg,"(0.45, 0.65)"
5983.jpg,"(0.25, 0.65)"
6620.jpg,"(0.75, 0.65)"
6785.jpg,"(0.35, 0.75)"
6915.jpg,"(0.50, 0.50)"
7384.jpg,"(0.45, 0.55)"
7562.jpg,"(0.35, 0.60)"
7936.jpg,"(0.25, 0.80)"
8194.jpg,"(0.35, 0.65)"
8270.jpg,"(0.58, 0.74)"
8388.jpg,"(0.48, 0.65)"
8539.jpg,"(0.48, 0.62)"
9609.jpg,"(0.48, 0.65)"
10153.jpg,"(0.45, 0.68)"
11694.jpg,"(0.35, 0.75)"
12206.jpg,"(0.52, 0.60)"
12230.jpg,"(0.35, 0.60)"
12508.jpg,"(0.35, 0.68)"
12752.jpg,"(0.52, 0.63)"
14193.jpg,"(0.52, 0.64)"
14240.jpg,"(0.52, 0.68)"
14462.jpg,"(0.45, 0.60)"
14607.jpg,"(0.25, 0.65)"
15059.jpg,"(0.54, 0.68)"
