frame,gaze
552.jpg,"(0.38, 0.90)"
1267.jpg,"(0.50, 0.60)"
1697.jpg,"(0.25, 0.85)"
1831.jpg,"(0.50, 0.60)"
2374.jpg,"(0.45, 0.50)"
2718.jpg,"(0.35, 0.75)"
3286.jpg,"(0.50, 0.60)"
3674.jpg,"(0.50, 0.50)"
3903.jpg,"(0.50, 0.60)"
4440.jpg,"(0.65, 0.72)"
4624.jpg,"(0.45, 0.75)"
6018.jpg,"(0.52, 0.71)"
9399.jpg,"(0.58, 0.71)"
10268.jpg,"(0.58, 0.54)"
11358.jpg,"(0.52, 0.61)"
11688.jpg,"(0.35, 0.60)"
12285.jpg,"(0.48, 0.72)"
13150.jpg,"(0.45, 0.68)"
15378.jpg,"(0.45, 0.55)"
17135.jpg,"(0.54, 0.78)"
24840.jpg,"(0.85, 0.63)"
27467.jpg,"(0.45, 0.65)"
27807.jpg,"(0.60, 0.55)"
28318.jpg,"(0.35, 0.55)"
28646.jpg,"(0.50, 0.60)"
29100.jpg,"(0.55, 0.48)"
29418.jpg,"(0.50, 0.50)"
29935.jpg,"(0.45, 0.75)"
30232.jpg,"(0.45, 0.65)"
30993.jpg,"(0.35, 0.48)"
31115.jpg,"(0.58, 0.74)"
31834.jpg,"(0.50, 0.60)"
32243.jpg,"(0.65, 0.75)"
32824.jpg,"(0.50, 0.60)"
33181.jpg,"(0.75, 0.75)"
33632.jpg,"(0.45, 0.50)"
34198.jpg,"(0.45, 0.65)"
34448.jpg,"(0.65, 0.70)"
34647.jpg,"(0.55, 0.65)"
34968.jpg,"(0.58, 0.67)"
36149.jpg,"(0.58, 0.91)"
36671.jpg,"(0.45, 0.65)"
38912.jpg,"(0.52, 0.76)"
39755.jpg,"(0.45, 0.80)"
40133.jpg,"(0.65, 0.75)"
43670.jpg,"(0.55, 0.48)"
43923.jpg,"(0.65, 0.68)"
44027.jpg,"(0.50, 0.70)"
45178.jpg,"(0.35, 0.70)"
45852.jpg,"(0.50, 0.45)"
