frame,gaze
171.jpg,"(0.45, 0.89)"
358.jpg,"(0.45, 0.60)"
497.jpg,"(0.45, 0.60)"
833.jpg,"(0.45, 0.45)"
881.jpg,"(0.25, 0.65)"
1441.jpg,"(0.50, 0.75)"
1572.jpg,"(0.48, 0.62)"
1668.jpg,"(0.45, 0.65)"
2130.jpg,"(0.50, 0.45)"
2337.jpg,"(0.50, 0.60)"
2387.jpg,"(0.58, 0.67)"
2469.jpg,"(0.50, 0.60)"
2871.jpg,"(0.25, 0.70)"
3062.jpg,"(0.75, 0.48)"
3448.jpg,"(0.52, 0.68)"
3540.jpg,"(0.35, 0.68)"
4001.jpg,"(0.45, 0.45)"
5344.jpg,"(0.85, 0.75)"
7313.jpg,"(0.48, 0.52)"
7733.jpg,"(0.35, 0.68)"
