frame,gaze
149.jpg,"(0.58, 0.72)"
606.jpg,"(0.45, 0.65)"
862.jpg,"(0.45, 0.65)"
1187.jpg,"(0.65, 0.65)"
1428.jpg,"(0.65, 0.70)"
1585.jpg,"(0.52, 0.65)"
1689.jpg,"(0.50, 0.60)"
1780.jpg,"(0.50, 0.60)"
3253.jpg,"(0.58, 0.62)"
3684.jpg,"(0.52, 0.65)"
3776.jpg,"(0.58, 0.67)"
3859.jpg,"(0.50, 0.60)"
3938.jpg,"(0.35, 0.65)"
4130.jpg,"(0.65, 0.55)"
4565.jpg,"(0.75, 0.65)"
4709.jpg,"(0.65, 0.70)"
4740.jpg,"(0.75, 0.80)"
4893.jpg,"(0.65, 0.65)"
5051.jpg,"(0.56, 0.60)"
5153.jpg,"(0.15, 0.60)"
5246.jpg,"(0.58, 0.64)"
5294.jpg,"(0.58, 0.72)"
5378.jpg,"(0.45, 0.35)"
5752.jpg,"(0.65, 0.65)"
6046.jpg,"(0.58, 0.69)"
6287.jpg,"(0.65, 0.55)"
6358.jpg,"(0.65, 0.62)"
7144.jpg,"(0.61, 0.74)"
7228.jpg,"(0.52, 0.64)"
7825.jpg,"(0.45, 0.65)"
8004.jpg,"(0.45, 0.65)"
8139.jpg,"(0.75, 0.60)"
8478.jpg,"(0.35, 0.65)"
8613.jpg,"(0.55, 0.65)"
8835.jpg,"(0.35, 0.85)"
