frame,gaze
368.jpg,"(0.45, 0.60)"
542.jpg,"(0.45, 0.65)"
831.jpg,"(0.45, 0.65)"
1123.jpg,"(0.65, 0.62)"
2040.jpg,"(0.45, 0.65)"
2312.jpg,"(0.35, 0.75)"
2635.jpg,"(0.45, 0.65)"
2962.jpg,"(0.54, 0.76)"
3122.jpg,"(0.48, 0.67)"
3885.jpg,"(0.35, 0.75)"
4221.jpg,"(0.50, 0.65)"
4613.jpg,"(0.65, 0.83)"
5686.jpg,"(0.50, 0.60)"
5844.jpg,"(0.45, 0.70)"
6195.jpg,"(0.45, 0.68)"
6333.jpg,"(0.45, 0.65)"
6726.jpg,"(0.58, 0.64)"
6787.jpg,"(0.55, 0.70)"
6854.jpg,"(0.35, 0.65)"
7370.jpg,"(0.52, 0.81)"
7460.jpg,"(0.52, 0.68)"
7750.jpg,"(0.52, 0.68)"
8279.jpg,"(0.50, 0.50)"
