frame,gaze
396.jpg,"(0.65, 0.75)"
670.jpg,"(0.58, 0.69)"
1177.jpg,"(0.65, 0.45)"
1690.jpg,"(0.65, 0.55)"
2105.jpg,"(0.45, 0.75)"
2299.jpg,"(0.65, 0.78)"
2781.jpg,"(0.65, 0.78)"
3019.jpg,"(0.75, 0.80)"
3126.jpg,"(0.32, 0.64)"
3380.jpg,"(0.65, 0.60)"
3450.jpg,"(0.15, 0.68)"
3821.jpg,"(0.35, 0.65)"
4015.jpg,"(0.54, 0.57)"
4763.jpg,"(0.75, 0.75)"
4886.jpg,"(0.45, 0.60)"
5103.jpg,"(0.35, 0.60)"
5536.jpg,"(0.58, 0.64)"
5772.jpg,"(0.54, 0.58)"
5901.jpg,"(0.52, 0.56)"
5975.jpg,"(0.52, 0.61)"
6577.jpg,"(0.65, 0.55)"
6647.jpg,"(0.35, 0.75)"
7099.jpg,"(0.45, 0.75)"
7518.jpg,"(0.56, 0.68)"
7874.jpg,"(0.58, 0.62)"
7927.jpg,"(0.54, 0.72)"
8820.jpg,"(0.52, 0.68)"
9739.jpg,"(0.58, 0.67)"
9799.jpg,"(0.65, 0.70)"
9973.jpg,"(0.52, 0.56)"
10657.jpg,"(0.52, 0.64)"
